,"
UF","
Código do Município","
Município",Fevereiro/2025,Pop IBGE 2024,%,
,AM,130260,Am-Manaus,508.468,2.279.686,"22,30%",
,AM,130270,Am-Manicore,856,57.758,"1,48%",
,AM,130280,Am-Maraa,58,15.843,"0,37%",
,AM,130290,Am-Maues,933,65.714,"1,42%",
,AM,130300,Am-Nhamunda,138,21.106,"0,65%",
,AM,130310,Am-Nova Olinda do Norte,384,28.267,"1,36%",
,AM,130320,Am-Novo Airao,911,16.467,"5,53%",
,AM,130330,Am-Novo Aripuana,205,24.987,"0,82%",
,AM,130340,Am-Parintins,4.090,101.956,"4,01%",
,AM,130350,Am-Pauini,37,20.232,"0,18%",
,AM,130353,Am-Presidente Figueiredo,3.402,33.004,"10,31%",
,AM,130356,Am-Rio Preto da Eva,1.368,25.723,"5,32%",
,AM,130360,Am-Santa Isabel do Rio Negro,45,14.176,"0,32%",
,AM,130370,Am-Santo Antonio do Ica,444,30.448,"1,46%",
,AM,130380,Am-Sao Gabriel da Cachoeira,555,56.406,"0,98%",
,AM,130390,Am-Sao Paulo de Olivenca,191,35.196,"0,54%",
,AM,130395,Am-Sao Sebastiao do Uatuma,122,12.247,"1,00%",
,AM,130400,Am-Silves,-37,12.404,"-0,30%",
,AM,130406,Am-Tabatinga,3.565,72.283,"4,93%",
,AM,130410,Am-Tapaua,44,20.501,"0,21%",
,AM,130420,Am-Tefe,2.339,79.278,"2,95%",
,AM,130423,Am-Tonantins,104,20.224,"0,51%",
,AM,130426,Am-Uarini,84,15.278,"0,55%",
,AM,130430,Am-Urucara,84,19.505,"0,43%",
,AM,130440,Am-Urucurituba,97,25.592,"0,38%",
,RR,140002,Rr-Amajari,430,15.583,"2,76%",
,RR,140005,Rr-Alto Alegre,430,23.049,"1,87%",
,RR,140010,Rr-Boa Vista,74.567,470.169,"15,86%",
,RR,140015,Rr-Bonfim,804,15.222,"5,28%",
,RR,140017,Rr-Canta,960,20.552,"4,67%",
,RR,140020,Rr-Caracarai,1.318,22.443,"5,87%",
,RR,140023,Rr-Caroebe,192,11.708,"1,64%",
,RR,140028,Rr-Iracema,212,10.778,"1,97%",
,RR,140030,Rr-Mucajai,659,19.619,"3,36%",
,RR,140040,Rr-Normandia,81,15.744,"0,51%",
,RR,140045,Rr-Pacaraima,1.094,22.104,"4,95%",
,RR,140047,Rr-Rorainopolis,1.878,36.747,"5,11%",
,RR,140050,Rr-Sao Joao da Baliza,851,9.727,"8,75%",
,RR,140060,Rr-Sao Luiz,243,7.777,"3,12%",
,RR,140070,Rr-Uiramuta,36,15.571,"0,23%",
,PA,150010,Pa-Abaetetuba,8.063,170.999,"4,72%",
,PA,150013,Pa-Abel Figueiredo,476,6.302,"7,55%",
,PA,150020,Pa-Acara,3.047,62.701,"4,86%",
,PA,150030,Pa-Afua,363,40.246,"0,90%",
,PA,150034,Pa-Agua Azul do Norte,3.155,17.960,"17,57%",
,PA,150040,Pa-Alenquer,910,74.836,"1,22%",
,PA,150050,Pa-Almeirim,1.996,36.334,"5,49%",
,PA,150060,Pa-Altamira,15.784,136.982,"11,52%",
,PA,150070,Pa-Anajas,197,30.003,"0,66%",
,PA,150080,Pa-Ananindeua,71.917,507.838,"14,16%",
,PA,150085,Pa-Anapu,1.747,34.947,"5,00%",
,PA,150090,Pa-Augusto Correa,1.785,47.596,"3,75%",
,PA,150095,Pa-Aurora do Para,422,24.321,"1,74%",
,PA,150100,Pa-Aveiro,89,19.223,"0,46%",
,PA,150110,Pa-Bagre,100,34.633,"0,29%",
,PA,150120,Pa-Baiao,301,55.949,"0,54%",
,PA,150125,Pa-Bannach,536,4.252,"12,61%",
,PA,150130,Pa-Barcarena,31.617,137.331,"23,02%",
,PA,150140,Pa-Belem,302.470,1.398.531,"21,63%",
,PA,150145,Pa-Belterra,1.382,18.954,"7,29%",
,PA,150150,Pa-Benevides,13.433,68.191,"19,70%",
,PA,150157,Pa-Bom Jesus do Tocantins,845,18.958,"4,46%",
,PA,150160,Pa-Bonito,1.305,12.998,"10,04%",
,PA,150170,Pa-Braganca,6.708,131.679,"5,09%",
,PA,150172,Pa-Brasil Novo,835,26.606,"3,14%",
,PA,150175,Pa-Brejo Grande do Araguaia,602,6.985,"8,62%",
,PA,150178,Pa-Breu Branco,2.332,47.351,"4,92%",
,PA,150180,Pa-Breves,5.403,115.051,"4,70%",
,PA,150190,Pa-Bujaru,357,25.112,"1,42%",
,PA,150195,Pa-Cachoeira do Piria,190,19.578,"0,97%",
,PA,150200,Pa-Cachoeira do Arari,258,25.243,"1,02%",
,PA,150210,Pa-Cameta,3.594,143.837,"2,50%",
,PA,150215,Pa-Canaa dos Carajas,29.762,86.629,"34,36%",
,PA,150220,Pa-Capanema,9.070,74.808,"12,12%",
,PA,150230,Pa-Capitao Poco,2.949,59.960,"4,92%",
,PA,150240,Pa-Castanhal,37.022,207.603,"17,83%",
,PA,150250,Pa-Chaves,344,21.487,"1,60%",
,PA,150260,Pa-Colares,103,13.526,"0,76%",
,PA,150270,Pa-Conceicao do Araguaia,4.392,47.099,"9,33%",
,PA,150275,Pa-Concordia do Para,2.232,28.287,"7,89%",
,PA,150276,Pa-Cumaru do Norte,1.816,14.937,"12,16%",
,PA,150277,Pa-Curionopolis,4.065,20.859,"19,49%",
,PA,150280,Pa-Curralinho,64,36.451,"0,18%",
,PA,150285,Pa-Curua,859,14.834,"5,79%",
,PA,150290,Pa-Curuca,720,44.413,"1,62%",
,PA,150293,Pa-Dom Eliseu,4.577,62.322,"7,34%",
,PA,150295,Pa-Eldorado dos Carajas,1.310,29.425,"4,45%",
,PA,150300,Pa-Faro,95,9.125,"1,04%",
,PA,150304,Pa-Floresta do Araguaia,851,18.565,"4,58%",
,PA,150307,Pa-Garrafao do Norte,1.012,25.552,"3,96%",
,PA,150309,Pa-Goianesia do Para,1.568,27.059,"5,79%",
,PA,150310,Pa-Gurupa,1.210,33.922,"3,57%",
,PA,150320,Pa-Igarape-Acu,1.972,37.855,"5,21%",
,PA,150330,Pa-Igarape-Miri,1.213,68.955,"1,76%",
,PA,150340,Pa-Inhangapi,780,10.754,"7,25%",
,PA,150345,Pa-Ipixuna do Para,1.486,30.158,"4,93%",
,PA,150350,Pa-Irituia,614,32.698,"1,88%",
,PA,150360,Pa-Itaituba,17.046,133.684,"12,75%",
,PA,150370,Pa-Itupiranga,1.460,52.187,"2,80%",
,PA,150375,Pa-Jacareacanga,497,26.006,"1,91%",
,PA,150380,Pa-Jacunda,3.471,38.391,"9,04%",
,PA,150390,Pa-Juruti,3.655,53.952,"6,77%",
,PA,150400,Pa-Limoeiro do Ajuru,79,31.778,"0,25%",
,PA,150405,Pa-Mae do Rio,1.830,37.048,"4,94%",
,PA,150410,Pa-Magalhaes Barata,58,8.428,"0,69%",
,PA,150420,Pa-Maraba,55.658,288.513,"19,29%",
,PA,150430,Pa-Maracana,525,27.207,"1,93%",
,PA,150440,Pa-Marapanim,326,28.105,"1,16%",
,PA,150442,Pa-Marituba,14.800,118.998,"12,44%",
,PA,150445,Pa-Medicilandia,746,28.633,"2,61%",
,PA,150450,Pa-Melgaco,145,29.846,"0,49%",2
,PA,150460,Pa-Mocajuba,462,28.821,"1,60%",
,PA,150470,Pa-Moju,9.007,90.795,"9,92%",
,PA,150475,Pa-Mojui dos Campos,595,25.312,"2,35%",
,PA,150480,Pa-Monte Alegre,1.205,63.641,"1,89%",
,PA,150490,Pa-Muana,211,48.955,"0,43%",
,PA,150495,Pa-Nova Esperanca do Piria,268,21.259,"1,26%",
,PA,150497,Pa-Nova Ipixuna,591,14.417,"4,10%",
,PA,150500,Pa-Nova Timboteua,476,13.204,"3,60%",
,PA,150503,Pa-Novo Progresso,5.137,36.518,"14,07%",
,PA,150506,Pa-Novo Repartimento,2.417,63.754,"3,79%",
,PA,150510,Pa-Obidos,3.231,55.271,"5,85%",
,PA,150520,Pa-Oeiras do Para,84,36.377,"0,23%",
,PA,150530,Pa-Oriximina,6.025,72.460,"8,31%",
,PA,150540,Pa-Ourem,384,18.675,"2,06%",
,PA,150543,Pa-Ourilandia do Norte,4.396,34.905,"12,59%",
,PA,150548,Pa-Pacaja,1.453,43.594,"3,33%",
,PA,150549,Pa-Palestina do Para,221,7.086,"3,12%",
,PA,150550,Pa-Paragominas,22.218,112.843,"19,69%",
,PA,150553,Pa-Parauapebas,68.646,298.854,"22,97%",
,PA,150555,Pa-Pau D Arco,422,7.296,"5,78%",
,PA,150560,Pa-Peixe-Boi,249,8.651,"2,88%",
,PA,150563,Pa-Picarra,849,13.341,"6,36%",
,PA,150565,Pa-Placas,332,18.772,"1,77%",
,PA,150570,Pa-Ponta de Pedras,374,25.767,"1,45%",
,PA,150580,Pa-Portel,1.159,66.898,"1,73%",
,PA,150590,Pa-Porto de Moz,246,43.673,"0,56%",
,PA,150600,Pa-Prainha,260,38.318,"0,68%",
,PA,150610,Pa-Primavera,394,11.332,"3,48%",
,PA,150611,Pa-Quatipuru,57,11.870,"0,48%",
,PA,150613,Pa-Redencao,15.896,91.947,"17,29%",
,PA,150616,Pa-Rio Maria,2.998,19.129,"15,67%",
,PA,150618,Pa-Rondon do Para,3.488,56.593,"6,16%",
,PA,150619,Pa-Ruropolis,1.125,37.360,"3,01%",
,PA,150620,Pa-Salinopolis,5.205,48.168,"10,81%",
,PA,150630,Pa-Salvaterra,441,25.441,"1,73%",
,PA,150635,Pa-Santa Barbara do Para,1.334,22.288,"5,99%",
,PA,150640,Pa-Santa Cruz do Arari,54,7.654,"0,71%",
,PA,150650,Pa-Santa Isabel do Para,10.683,78.317,"13,64%",
,PA,150655,Pa-Santa Luzia do Para,332,21.217,"1,56%",
,PA,150658,Pa-Santa Maria das Barreiras,2.675,17.079,"15,66%",
,PA,150660,Pa-Santa Maria do Para,1.673,25.696,"6,51%",
,PA,150670,Pa-Santana do Araguaia,6.421,31.683,"20,27%",
,PA,150680,Pa-Santarem,41.322,357.311,"11,56%",
,PA,150690,Pa-Santarem Novo,206,6.348,"3,25%",
,PA,150700,Pa-Santo Antonio do Taua,2.064,29.134,"7,08%",
,PA,150710,Pa-Sao Caetano de Odivelas,355,17.248,"2,06%",
,PA,150715,Pa-Sao Domingos do Araguaia,1.115,21.638,"5,15%",
,PA,150720,Pa-Sao Domingos do Capim,507,32.449,"1,56%",
,PA,150730,Pa-Sao Felix do Xingu,5.359,65.957,"8,12%",
,PA,150740,Pa-Sao Francisco do Para,594,15.418,"3,85%",
,PA,150745,Pa-Sao Geraldo do Araguaia,2.901,24.978,"11,61%",
,PA,150746,Pa-Sao Joao da Ponta,225,4.509,"4,99%",
,PA,150747,Pa-Sao Joao de Pirabas,303,21.447,"1,41%",
,PA,150750,Pa-Sao Joao do Araguaia,460,14.246,"3,23%",
,PA,150760,Pa-Sao Miguel do Guama,4.918,55.798,"8,81%",
,PA,150770,Pa-Sao Sebastiao da Boa Vista,45,27.441,"0,16%",
,PA,150775,Pa-Sapucaia,1.322,6.160,"21,46%",
,PA,150780,Pa-Senador Jose Porfirio,182,24.441,"0,74%",
,PA,150790,Pa-Soure,784,25.218,"3,11%",
,PA,150795,Pa-Tailandia,11.674,75.526,"15,46%",
,PA,150796,Pa-Terra Alta,236,10.815,"2,18%",
,PA,150797,Pa-Terra Santa,650,19.667,"3,31%",
,PA,150800,Pa-Tome-Acu,8.710,72.326,"12,04%",
,PA,150803,Pa-Tracuateua,1.595,30.373,"5,25%",
,PA,150805,Pa-Trairao,528,15.619,"3,38%",
,PA,150808,Pa-Tucuma,4.970,42.480,"11,70%",
,PA,150810,Pa-Tucurui,8.477,96.238,"8,81%",
,PA,150812,Pa-Ulianopolis,4.326,39.576,"10,93%",
,PA,150815,Pa-Uruara,2.082,45.939,"4,53%",
,PA,150820,Pa-Vigia,1.324,53.806,"2,46%",
,PA,150830,Pa-Viseu,428,61.970,"0,69%",
,PA,150835,Pa-Vitoria do Xingu,874,16.414,"5,32%",
,PA,150840,Pa-Xinguara,10.092,56.999,"17,71%",
,AP,160005,Ap-Serra do Navio,91,4.986,"1,83%",
,AP,160010,Ap-Amapa,183,8.434,"2,17%",
,AP,160015,Ap-Pedra Branca do Amapari,385,13.798,"2,79%",
,AP,160020,Ap-Calcoene,269,11.391,"2,36%",
,AP,160021,Ap-Cutias,210,4.725,"4,44%",
,AP,160023,Ap-Ferreira Gomes,245,7.145,"3,43%",
,AP,160025,Ap-Itaubal,27,6.043,"0,45%",
,AP,160027,Ap-Laranjal do Jari,1.115,37.969,"2,94%",
,AP,160030,Ap-Macapa,79.867,487.200,"16,39%",
,AP,160040,Ap-Mazagao,883,23.575,"3,75%",
,AP,160050,Ap-Oiapoque,1.237,30.481,"4,06%",
,AP,160053,Ap-Porto Grande,1.265,18.988,"6,66%",
,AP,160055,Ap-Pracuuba,13,4.042,"0,32%",
,AP,160060,Ap-Santana,9.865,118.353,"8,34%",
,AP,160070,Ap-Tartarugalzinho,396,13.785,"2,87%",
,AP,160080,Ap-Vitoria do Jari,481,11.922,"4,03%",
,TO,170025,To-Abreulandia,167,2.668,"6,26%",3
,TO,170030,To-Aguiarnopolis,1.437,4.537,"31,67%",
,TO,170035,To-Alianca do Tocantins,521,5.222,"9,98%",
,TO,170040,To-Almas,1.124,6.542,"17,18%",
,TO,170070,To-Alvorada,1.854,9.094,"20,39%",
,TO,170100,To-Ananas,501,10.662,"4,70%",
,TO,170105,To-Angico,110,2.918,"3,77%",4
,TO,170110,To-Aparecida do Rio Negro,438,5.067,"8,64%",
,TO,170130,To-Aragominas,217,5.360,"4,05%",
,TO,170190,To-Araguacema,464,6.039,"7,68%",
,TO,170200,To-Araguacu,1.130,8.273,"13,66%",
,TO,170210,To-Araguaina,39.727,181.493,"21,89%",
,TO,170215,To-Araguana,343,4.338,"7,91%",
,TO,170220,To-Araguatins,3.205,33.205,"9,65%",
,TO,170230,To-Arapoema,617,5.553,"11,11%",
,TO,170240,To-Arraias,707,10.522,"6,72%",
,TO,170255,To-Augustinopolis,1.713,18.128,"9,45%",
,TO,170270,To-Aurora do Tocantins,74,3.420,"2,16%",
,TO,170290,To-Axixa do Tocantins,300,10.663,"2,81%",
,TO,170300,To-Babaculandia,761,7.779,"9,78%",
,TO,170305,To-Bandeirantes do Tocantins,681,3.534,"19,27%",
,TO,170307,To-Barra do Ouro,163,4.641,"3,51%",
,TO,170310,To-Barrolandia,270,4.915,"5,49%",
,TO,170320,To-Bernardo Sayao,285,4.316,"6,60%",
,TO,170330,To-Bom Jesus do Tocantins,203,4.181,"4,86%",
,TO,170360,To-Brasilandia do Tocantins,138,2.016,"6,85%",
,TO,170370,To-Brejinho de Nazare,391,4.796,"8,15%",
,TO,170380,To-Buriti do Tocantins,220,10.654,"2,06%",
,TO,170382,To-Cachoeirinha,59,1.991,"2,96%",5
,TO,170384,To-Campos Lindos,1.282,8.951,"14,32%",
,TO,170386,To-Cariri do Tocantins,1.272,4.147,"30,67%",
,TO,170388,To-Carmolandia,182,2.246,"8,10%",
,TO,170389,To-Carrasco Bonito,29,3.362,"0,86%",
,TO,170390,To-Caseara,1.042,5.009,"20,80%",
,TO,170410,To-Centenario,56,2.135,"2,62%",
,TO,170460,To-Chapada de Areia,77,1.563,"4,93%",
,TO,170510,To-Chapada da Natividade,297,3.182,"9,33%",
,TO,170550,To-Colinas do Tocantins,4.261,35.957,"11,85%",
,TO,170555,To-Combinado,223,4.896,"4,55%",
,TO,170560,To-Conceicao do Tocantins,205,3.956,"5,18%",
,TO,170600,To-Couto de Magalhaes,452,5.515,"8,20%",
,TO,170610,To-Cristalandia,472,6.437,"7,33%",
,TO,170625,To-Crixas do Tocantins,95,1.499,"6,34%",
,TO,170650,To-Darcinopolis,843,6.054,"13,92%",
,TO,170700,To-Dianopolis,2.340,18.031,"12,98%",
,TO,170710,To-Divinopolis do Tocantins,821,7.297,"11,25%",
,TO,170720,To-Dois Irmaos do Tocantins,504,6.395,"7,88%",
,TO,170730,To-Duere,921,4.321,"21,31%",
,TO,170740,To-Esperantina,71,7.493,"0,95%",
,TO,170755,To-Fatima,362,3.520,"10,28%",
,TO,170765,To-Figueiropolis,499,5.336,"9,35%",
,TO,170770,To-Filadelfia,295,7.823,"3,77%",
,TO,170820,To-Formoso do Araguaia,2.392,19.428,"12,31%",
,TO,170825,To-Fortaleza do Tabocao,424,3.676,"11,53%",
,TO,170830,To-Goianorte,247,4.840,"5,10%",
,TO,170900,To-Goiatins,540,12.816,"4,21%",
,TO,170930,To-Guarai,3.113,25.681,"12,12%",
,TO,170950,To-Gurupi,16.979,89.574,"18,96%",
,TO,170980,To-Ipueiras,94,1.627,"5,78%",
,TO,171050,To-Itacaja,241,6.969,"3,46%",
,TO,171070,To-Itaguatins,228,5.206,"4,38%",
,TO,171090,To-Itapiratins,169,3.679,"4,59%",
,TO,171110,To-Itapora do Tocantins,277,2.464,"11,24%",
,TO,171150,To-Jau do Tocantins,189,3.403,"5,55%",
,TO,171180,To-Juarina,74,2.305,"3,21%",
,TO,171190,To-Lagoa da Confusao,2.590,16.312,"15,88%",
,TO,171195,To-Lagoa do Tocantins,106,3.610,"2,94%",
,TO,171200,To-Lajeado,327,3.520,"9,29%",
,TO,171215,To-Lavandeira,40,1.673,"2,39%",
,TO,171240,To-Lizarda,160,2.991,"5,35%",
,TO,171245,To-Luzinopolis,76,2.803,"2,71%",
,TO,171250,To-Marianopolis do Tocantins,687,4.772,"14,40%",
,TO,171270,To-Mateiros,402,2.888,"13,92%",
,TO,171280,To-Maurilandia do Tocantins,108,3.171,"3,41%",
,TO,171320,To-Miracema do Tocantins,2.253,18.787,"11,99%",
,TO,171330,To-Miranorte,1.520,13.056,"11,64%",
,TO,171360,To-Monte do Carmo,560,5.722,"9,79%",
,TO,171370,To-Monte Santo do Tocantins,125,2.500,"5,00%",
,TO,171380,To-Palmeiras do Tocantins,147,4.897,"3,00%",
,TO,171395,To-Muricilandia,259,3.485,"7,43%",
,TO,171420,To-Natividade,978,8.961,"10,91%",
,TO,171430,To-Nazare,86,4.660,"1,85%",
,TO,171488,To-Nova Olinda,1.356,10.609,"12,78%",6
,TO,171500,To-Nova Rosalandia,255,3.403,"7,49%",
,TO,171510,To-Novo Acordo,435,4.102,"10,60%",
,TO,171515,To-Novo Alegre,35,1.841,"1,90%",
,TO,171525,To-Novo Jardim,103,2.263,"4,55%",
,TO,171550,To-Oliveira de Fatima,44,1.211,"3,63%",
,TO,171570,To-Palmeirante,412,4.909,"8,39%",
,TO,171575,To-Palmeiropolis,891,7.119,"12,52%",
,TO,171610,To-Paraiso do Tocantins,9.883,55.164,"17,92%",
,TO,171620,To-Parana,538,10.854,"4,96%",
,TO,171630,To-Pau D Arco,271,4.085,"6,63%",
,TO,171650,To-Pedro Afonso,2.450,14.731,"16,63%",
,TO,171660,To-Peixe,1.014,9.438,"10,74%",
,TO,171665,To-Pequizeiro,223,5.038,"4,43%",
,TO,171670,To-Colmeia,676,9.158,"7,38%",
,TO,171700,To-Pindorama do Tocantins,63,4.596,"1,37%",
,TO,171720,To-Piraque,359,2.265,"15,85%",
,TO,171750,To-Pium,1.000,7.375,"13,56%",
,TO,171780,To-Ponte Alta do Bom Jesus,201,4.295,"4,68%",
,TO,171790,To-Ponte Alta do Tocantins,295,7.842,"3,76%",
,TO,171800,To-Porto Alegre do Tocantins,112,2.953,"3,79%",
,TO,171820,To-Porto Nacional,10.732,68.555,"15,65%",
,TO,171830,To-Praia Norte,52,9.460,"0,55%",
,TO,171840,To-Presidente Kennedy,197,3.051,"6,46%",
,TO,171845,To-Pugmil,227,2.231,"10,17%",
,TO,171850,To-Recursolandia,182,3.471,"5,24%",
,TO,171855,To-Riachinho,134,4.039,"3,32%",
,TO,171865,To-Rio da Conceicao,193,1.822,"10,59%",
,TO,171870,To-Rio dos Bois,343,2.833,"12,11%",
,TO,171875,To-Rio Sono,191,4.798,"3,98%",
,TO,171880,To-Sampaio,33,4.372,"0,75%",
,TO,171884,To-Sandolandia,366,3.873,"9,45%",
,TO,171886,To-Santa Fe do Araguaia,624,7.489,"8,33%",
,TO,171888,To-Santa Maria do Tocantins,139,2.726,"5,10%",
,TO,171889,To-Santa Rita do Tocantins,332,2.291,"14,49%",
,TO,171890,To-Santa Rosa do Tocantins,548,4.789,"11,44%",
,TO,171900,To-Santa Tereza do Tocantins,76,2.889,"2,63%",
,TO,172000,To-Santa Terezinha do Tocantins,39,2.463,"1,58%",
,TO,172010,To-Sao Bento do Tocantins,276,5.936,"4,65%",
,TO,172015,To-Sao Felix do Tocantins,197,1.875,"10,51%",
