"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
Jaraguá do Sul/SC,SC,420890,113276,111270,2006,"1,77%",147905,145781,2124,"1,44%","18,91%",
Picada Café/RS,RS,431442,4290,4190,100,"2,33%",4522,4457,65,"1,44%","38,33%",
Gramado/RS,RS,430910,25665,24942,723,"2,82%",32926,32438,488,"1,48%","47,39%",
Morro Reuter/RS,RS,431247,4708,4659,49,"1,04%",5138,5060,78,"1,52%","-45,86%",
Tupandi/RS,RS,432225,3171,3114,57,"1,80%",4088,4026,62,"1,52%","15,63%",
Curitiba/PR,PR,410690,1401947,1372130,29812,"2,13%",1486313,1463603,22710,"1,53%","28,15%",
Antônio Carlos/SC,SC,420120,5882,5640,242,"4,11%",8978,8838,140,"1,56%","62,10%",
Alto Feliz/RS,RS,430057,2452,2386,66,"2,69%",2622,2581,41,"1,56%","41,91%",
Joinville/SC,SC,420910,403542,394437,9105,"2,26%",500847,492997,7850,"1,57%","30,53%",
Nova Araçá/RS,RS,431280,3343,3260,83,"2,48%",4154,4088,66,"1,59%","36,01%",
Nova Bassano/RS,RS,431290,7263,7024,239,"3,29%",8172,8042,130,"1,59%","51,66%",
Santos/SP,SP,354850,349149,341396,7751,"2,22%",358238,352499,5739,"1,60%","27,84%",
Quatro Pontes/PR,PR,412085,3065,3027,38,"1,24%",3668,3609,59,"1,61%","-29,74%",
Bento Gonçalves/RS,RS,430210,88246,86281,1965,"2,23%",102498,100846,1652,"1,61%","27,62%",
Estância Velha/RS,RS,430760,33489,32611,878,"2,62%",39109,38475,634,"1,62%","38,17%",
Veranópolis/RS,RS,432280,19030,18494,536,"2,82%",20535,20200,335,"1,63%","42,08%",
Caxias do Sul/RS,RS,430510,348037,339837,8200,"2,36%",383965,377653,6312,"1,64%","30,23%",
Chuí/RS,RS,430543,4412,4329,83,"1,88%",5046,4963,83,"1,64%","12,56%",
Ivoti/RS,RS,431080,16095,15792,303,"1,88%",19049,18736,313,"1,64%","12,72%",
Arroio do Meio/RS,RS,430100,15481,15191,290,"1,87%",18204,17904,300,"1,65%","12,03%",
Nova Boa Vista/RS,RS,431295,1681,1639,42,"2,50%",1757,1728,29,"1,65%","33,94%",
Americana/SP,SP,350160,171868,167128,4732,"2,75%",198517,195206,3311,"1,67%","39,42%",
São José/SC,SC,421660,167860,163345,4515,"2,69%",224384,220602,3782,"1,69%","37,34%",
São Valentim do Sul/RS,RS,431971,1868,1789,79,"4,23%",1899,1867,32,"1,69%","60,15%",
Colinas/RS,RS,430558,2096,2035,61,"2,91%",2059,2024,35,"1,70%","41,59%",
São Bento do Sul/SC,SC,421580,57563,56165,1398,"2,43%",67432,66270,1162,"1,72%","29,05%",
São José do Hortêncio/RS,RS,431848,3355,3309,46,"1,37%",3760,3695,65,"1,73%","-26,08%",
Porto Alegre/RS,RS,431490,1145082,1119031,26045,"2,27%",1119272,1099799,19473,"1,74%","23,51%",
Paraí/RS,RS,431400,5609,5455,154,"2,75%",6044,5938,106,"1,75%","36,12%",
Niterói/RJ,RJ,330330,406361,397114,9247,"2,28%",411478,404198,7280,"1,77%","22,25%",1
Vale Real/RS,RS,432254,4143,4018,125,"3,02%",4963,4874,89,"1,79%","40,56%",
São José do Sul/RS,RS,431861,1740,1699,41,"2,36%",1998,1962,36,"1,80%","23,53%",
Luzerna/SC,SC,421003,4634,4534,100,"2,16%",4867,4779,88,"1,81%","16,21%",
Cachoeirinha/RS,RS,430310,92375,89663,2712,"2,94%",110463,108459,2004,"1,81%","38,21%",
Canoas/RS,RS,430460,251360,244784,6576,"2,62%",284450,279296,5154,"1,81%","30,74%",
Boa Vista do Buricá/RS,RS,430220,5415,5313,102,"1,88%",5832,5726,106,"1,82%","3,51%",
Campo Bom/RS,RS,430390,47523,46014,1509,"3,18%",51704,50765,939,"1,82%","42,81%",
Brusque/SC,SC,420290,84668,82397,2271,"2,68%",114536,112422,2114,"1,85%","31,19%",
Itapema/SC,SC,420830,35555,34559,996,"2,80%",61494,60351,1143,"1,86%","33,65%",
Imigrante/RS,RS,431036,2580,2546,34,"1,32%",2640,2591,49,"1,86%","-40,84%",
Cocal do Sul/SC,SC,420425,12206,11863,343,"2,81%",14310,14042,268,"1,87%","33,35%",
Rio dos Cedros/SC,SC,421470,8328,8076,252,"3,03%",8979,8811,168,"1,87%","38,17%",
Bombinhas/SC,SC,420245,11034,10653,381,"3,45%",20295,19913,382,"1,88%","45,49%",
Itajaí/SC,SC,420820,142301,138070,4231,"2,97%",210743,206771,3972,"1,88%","36,61%",
Carlos Barbosa/RS,RS,430480,20875,20346,526,"2,52%",25516,25034,482,"1,89%","25,03%",
Garibaldi/RS,RS,430860,25555,24878,677,"2,65%",29069,28521,548,"1,89%","28,84%",
São Pedro do Butiá/RS,RS,431937,2381,2326,55,"2,31%",2599,2550,49,"1,89%","18,38%",
Pareci Novo/RS,RS,431403,2898,2850,48,"1,66%",3582,3514,68,"1,90%","-14,61%",
Farroupilha/RS,RS,430790,51324,49951,1373,"2,68%",58431,57316,1115,"1,91%","28,67%",
Nilópolis/RJ,RJ,330320,124978,122292,2686,"2,15%",122297,119954,2343,"1,92%","10,86%",2
Iomerê/SC,SC,420757,2245,2174,71,"3,16%",2430,2383,47,"1,93%","38,84%",
Valinhos/SP,SP,355620,86650,83934,2716,"3,13%",105779,103712,2067,"1,95%","37,66%",
Victor Graeff/RS,RS,432320,2451,2380,71,"2,90%",2341,2295,46,"1,96%","32,17%",
Criciúma/SC,SC,420460,151970,147404,4563,"3,00%",175396,171943,3453,"1,97%","34,43%",
Indaial/SC,SC,420750,42630,41372,1258,"2,95%",57708,56574,1134,"1,97%","33,41%",
Rio do Sul/SC,SC,421480,48448,47086,1362,"2,81%",59596,58419,1177,"1,97%","29,75%",
Coronel Barros/RS,RS,430587,2064,1999,65,"3,15%",2380,2333,47,"1,97%","37,29%",
Esteio/RS,RS,430770,63741,62051,1690,"2,65%",62689,61456,1233,"1,97%","25,82%",
Maringá/PR,PR,411520,290541,281034,9507,"3,27%",342431,335644,6787,"1,98%","39,43%",
Marau/RS,RS,431180,29071,28191,880,"3,03%",36926,36196,730,"1,98%","34,69%",
Vinhedo/SP,SP,355670,50970,49254,1716,"3,37%",63014,61760,1254,"1,99%","40,89%",
Schroeder/SC,SC,421740,11782,11541,241,"2,05%",15807,15492,315,"1,99%","2,58%",
Santo André/SP,SP,354780,547943,532714,15229,"2,78%",627870,615268,12602,"2,01%","27,78%",
Gaspar/SC,SC,420590,45429,44326,1103,"2,43%",58688,57509,1179,"2,01%","17,26%",
Estrela/RS,RS,430780,24768,24157,611,"2,47%",26331,25801,530,"2,01%","18,41%",
Xangri-lá/RS,RS,432380,9280,8973,307,"3,31%",13054,12792,262,"2,01%","39,33%",
Jundiaí/SP,SP,352590,299264,290037,9227,"3,08%",367976,360549,7427,"2,02%","34,54%",
Presidente Getúlio/SC,SC,421400,11684,11327,357,"3,06%",16186,15856,330,"2,04%","33,27%",
Nova Bréscia/RS,RS,431300,2669,2569,100,"3,75%",2647,2593,54,"2,04%","45,55%",
São Marcos/RS,RS,431900,16357,15722,635,"3,88%",17924,17559,365,"2,04%","47,54%",
Nova Lima/MG,MG,314480,64459,62609,1850,"2,87%",90880,89020,1860,"2,05%","28,69%",
Ribeirão Preto/SP,SP,354340,487368,473187,14180,"2,91%",580935,569023,11912,"2,05%","29,52%",
Nova Prata/RS,RS,431330,18634,18098,536,"2,88%",21344,20907,437,"2,05%","28,82%",
Santa Maria do Herval/RS,RS,431695,5070,4973,97,"1,91%",5468,5356,112,"2,05%","-7,06%",
Salvador do Sul/RS,RS,431650,5495,5368,127,"2,31%",5784,5665,119,"2,06%","10,98%",
Vista Alegre do Prata/RS,RS,432360,1322,1287,35,"2,65%",1352,1324,28,"2,07%","21,78%",
Sorocaba/SP,SP,355220,463102,448729,14373,"3,10%",591679,579397,12282,"2,08%","33,12%",
Saltinho/SP,SP,354515,5758,5604,154,"2,67%",6841,6698,143,"2,09%","21,84%",
Panambi/RS,RS,431390,30124,29231,893,"2,96%",35242,34504,738,"2,09%","29,36%",
Bauru/SP,SP,350600,274793,266309,8484,"3,09%",313215,306642,6573,"2,10%","32,03%",
Nova Candelária/RS,RS,431301,2312,2262,50,"2,16%",2570,2516,54,"2,10%","2,84%",
Santa Maria/RS,RS,431690,209666,203015,6651,"3,17%",226415,221650,4765,"2,10%","33,66%",
Flores da Cunha/RS,RS,430820,22110,21411,699,"3,16%",25787,25242,545,"2,11%","33,15%",
Franca/SP,SP,351620,248097,239567,8530,"3,44%",288473,282349,6124,"2,12%","38,25%",
Indaiatuba/SP,SP,352050,159161,153783,5378,"3,38%",209764,205312,4452,"2,12%","37,19%",
Tubarão/SC,SC,421870,79061,76424,2637,"3,34%",91316,89380,1936,"2,12%","36,44%",
Campina das Missões/RS,RS,430370,5147,4938,209,"4,06%",5051,4944,107,"2,12%","47,83%",
Nova Odessa/SP,SP,353340,40734,39262,1472,"3,61%",50997,49909,1088,"2,13%","40,96%",
Poço das Antas/RS,RS,431475,1676,1630,46,"2,74%",1830,1791,39,"2,13%","22,35%",
Santa Clara do Sul/RS,RS,431675,4740,4556,184,"3,88%",5726,5604,122,"2,13%","45,11%",
São José dos Campos/SP,SP,354990,492757,478184,14573,"2,96%",568199,556049,12150,"2,14%","27,70%",
Imbé/RS,RS,431033,13744,13309,435,"3,17%",21919,21449,470,"2,14%","32,25%",
Santa Tereza/RS,RS,431725,1487,1435,52,"3,50%",1352,1323,29,"2,14%","38,66%",
Camboriú/SC,SC,420320,45903,44047,1856,"4,04%",81529,79777,1752,"2,15%","46,85%",
Penha/SC,SC,421250,19380,18693,687,"3,54%",27215,26629,586,"2,15%","39,26%",
Nova Pádua/RS,RS,431308,2079,2004,75,"3,61%",2042,1998,44,"2,15%","40,27%",
Serafina Corrêa/RS,RS,432040,11458,11097,361,"3,15%",14045,13743,302,"2,15%","31,75%",
São José do Rio Preto/SP,SP,354980,334474,323764,10706,"3,20%",399950,391300,8650,"2,16%","32,43%",
Alto Bela Vista/SC,SC,420075,1635,1569,66,"4,04%",1576,1542,34,"2,16%","46,56%",
Taubaté/SP,SP,355410,219427,212710,6717,"3,06%",254846,249279,5567,"2,18%","28,64%",
Guabiruba/SC,SC,420630,14609,14204,405,"2,77%",19608,19181,427,"2,18%","21,45%",
Centenário/RS,RS,430511,2479,2378,101,"4,07%",2340,2289,51,"2,18%","46,51%",
Paulínia/SP,SP,353650,63689,61477,2212,"3,47%",89423,87468,1955,"2,19%","37,05%",
Pinhais/PR,PR,411915,89077,86089,2988,"3,35%",103377,101115,2262,"2,19%","34,77%",
Itapiranga/SC,SC,420840,12100,11704,396,"3,27%",13501,13206,295,"2,19%","33,24%",
São João Batista/SC,SC,421630,20221,19530,691,"3,42%",25856,25290,566,"2,19%","35,94%",
Guaramirim/SC,SC,420650,26812,26052,760,"2,83%",36817,36006,811,"2,20%","22,29%",
Erechim/RS,RS,430700,77483,74945,2538,"3,28%",87642,85718,1924,"2,20%","32,98%",
Rio Negro/PR,PR,412230,23652,22814,838,"3,54%",25282,24724,558,"2,21%","37,71%",
Presidente Lucena/RS,RS,431514,2050,2005,45,"2,20%",2529,2473,56,"2,21%","-0,87%",
Belo Horizonte/MG,MG,310620,1925581,1870272,55305,"2,87%",1956270,1912764,43506,"2,22%","22,57%",
Cotiporã/RS,RS,430595,3364,3212,152,"4,52%",3376,3301,75,"2,22%","50,83%",
Juiz de Fora/MG,MG,313670,417693,404033,13660,"3,27%",454884,444741,10143,"2,23%","31,82%",
São Bonifácio/SC,SC,421590,2453,2362,91,"3,71%",2553,2496,57,"2,23%","39,82%",
Casca/RS,RS,430490,7225,6945,280,"3,88%",8015,7836,179,"2,23%","42,37%",
Ibirubá/RS,RS,431000,15776,15234,542,"3,44%",17871,17473,398,"2,23%","35,18%",
Poços de Caldas/MG,MG,315180,122226,117715,4511,"3,69%",137003,133935,3068,"2,24%","39,32%",
Vitória/ES,ES,320530,264681,256796,7885,"2,98%",269515,263472,6043,"2,24%","24,74%",
Arroio do Sal/RS,RS,430105,6055,5820,235,"3,88%",9156,8951,205,"2,24%","42,31%",
Lajeado/RS,RS,431140,57845,56291,1554,"2,69%",76642,74929,1713,"2,24%","16,80%",
Novo Hamburgo/RS,RS,431340,187857,181541,6316,"3,36%",188482,184240,4242,"2,25%","33,06%",
Santa Cruz do Sul/RS,RS,431680,95797,92571,3226,"3,37%",111203,108698,2505,"2,25%","33,11%",
Cruzeiro/SP,SP,351340,60369,58641,1728,"2,86%",61426,60040,1386,"2,26%","21,17%",
Palhoça/SC,SC,421190,105497,101383,4114,"3,90%",178547,174511,4036,"2,26%","42,03%",
Capão da Canoa/RS,RS,430463,31672,30488,1184,"3,74%",50337,49199,1138,"2,26%","39,52%",
Tapejara/RS,RS,432090,15683,15104,579,"3,69%",19904,19449,455,"2,29%","38,08%",
Porto Belo/SC,SC,421350,12388,11816,572,"4,62%",22412,21894,518,"2,31%","49,94%",
São Martinho/SC,SC,421710,2621,2512,109,"4,16%",2809,2744,65,"2,31%","44,36%",
Horizontina/RS,RS,430960,14942,14510,432,"2,89%",15650,15289,361,"2,31%","20,22%",
Linha Nova/RS,RS,431164,1363,1324,39,"2,86%",1470,1436,34,"2,31%","19,17%",
Cerquilho/SP,SP,351150,31390,30271,1119,"3,56%",36809,35955,854,"2,32%","34,92%",
Guaíba/RS,RS,430930,73786,70957,2829,"3,83%",75977,74211,1766,"2,32%","39,38%",
Rio de Janeiro/RJ,RJ,330455,5094088,4946537,147549,"2,90%",5178922,5058126,120796,"2,33%","19,47%",3
Guaratinguetá/SP,SP,351840,89426,86825,2601,"2,91%",97529,95260,2269,"2,33%","20,01%",
Urussanga/SC,SC,421900,16562,16024,538,"3,25%",17657,17246,411,"2,33%","28,34%",
Nova Palma/RS,RS,431310,5088,4904,184,"3,62%",4800,4688,112,"2,33%","35,48%",
Votorantim/SP,SP,355700,83492,80587,2905,"3,48%",103427,100997,2430,"2,35%","32,47%",
Ponta Grossa/PR,PR,411990,235063,226388,8675,"3,69%",285161,278470,6691,"2,35%","36,42%",
Treviso/SC,SC,421835,2866,2801,65,"2,27%",3143,3069,74,"2,35%","-3,81%",
São José dos Pinhais/PR,PR,412550,197704,190980,6724,"3,40%",261475,255292,6183,"2,36%","30,47%",
Ibirama/SC,SC,420690,13454,12953,501,"3,72%",16058,15679,379,"2,36%","36,62%",
Estação/RS,RS,430755,4884,4714,170,"3,48%",4736,4624,112,"2,36%","32,06%",
Mesquita/RJ,RJ,330285,130237,125747,4490,"3,45%",136083,132858,3225,"2,37%","31,26%",4
Volta Redonda/RJ,RJ,330630,206943,200109,6834,"3,30%",218066,212887,5179,"2,37%","28,08%",5
Corupá/SC,SC,420450,10871,10535,336,"3,09%",12397,12103,294,"2,37%","23,27%",
Doutor Ricardo/RS,RS,430675,1696,1574,122,"7,19%",1649,1610,39,"2,37%","67,12%",
Pinto Bandeira/RS,RS,431454,...,...,...,#VALOR!,2323,2268,55,"2,37%",#VALOR!,
São João de Meriti/RJ,RJ,330510,354110,342128,11982,"3,38%",357797,349282,8515,"2,38%","29,67%",6
Araraquara/SP,SP,350320,170412,164251,6161,"3,62%",201280,196483,4797,"2,38%","34,08%",
Barretos/SP,SP,350550,90041,86252,3789,"4,21%",100954,98554,2400,"2,38%","43,51%",
Piracicaba/SP,SP,353870,290188,281196,8992,"3,10%",349714,341405,8309,"2,38%","23,32%",
São João do Polêsine/RS,RS,431843,2216,2113,103,"4,65%",2268,2214,54,"2,38%","48,77%",
São Leopoldo/RS,RS,431870,166032,160770,5262,"3,17%",176321,172122,4199,"2,38%","24,86%",
Itapoá/SC,SC,420845,11404,10961,443,"3,88%",24677,24088,589,"2,39%","38,56%",
São Ludgero/SC,SC,421700,8471,8163,308,"3,64%",10743,10486,257,"2,39%","34,21%",
Igrejinha/RS,RS,431010,24618,23761,857,"3,48%",26558,25922,636,"2,39%","31,21%",
Santa Rosa/RS,RS,431720,54901,52838,2063,"3,76%",63158,61650,1508,"2,39%","36,46%",
São Jorge/RS,RS,431844,2301,2213,88,"3,82%",2510,2450,60,"2,39%","37,50%",
São Bernardo do Campo/SP,SP,354870,606718,588262,18455,"3,04%",671639,655517,16122,"2,40%","21,09%",
Roca Sales/RS,RS,431580,8467,8199,268,"3,17%",8697,8488,209,"2,40%","24,08%",
Campinas/SP,SP,350950,871877,843425,28442,"3,26%",948165,925284,22881,"2,41%","26,02%",
Gravataí/RS,RS,430920,196817,190528,6289,"3,20%",215974,210759,5215,"2,41%","24,43%",
Quinze de Novembro/RS,RS,431535,3016,2918,98,"3,25%",3263,3184,79,"2,42%","25,49%",
Lagoa Santa/MG,MG,313760,40515,38610,1905,"4,70%",61254,59765,1489,"2,43%","48,30%",
Videira/SC,SC,421930,36578,35269,1309,"3,58%",44907,43818,1089,"2,43%","32,24%",
Fagundes Varela/RS,RS,430786,2166,2079,87,"4,02%",2218,2164,54,"2,43%","39,39%",
Tramandaí/RS,RS,432160,31473,30192,1281,"4,07%",43580,42519,1061,"2,43%","40,18%",
Bady Bassitt/SP,SP,350460,11589,11137,452,"3,90%",21918,21384,534,"2,44%","37,53%",
Barra Velha/SC,SC,420210,16938,16153,785,"4,63%",36019,35139,880,"2,44%","47,28%",
Mafra/SC,SC,421010,40657,39254,1403,"3,45%",45105,44004,1101,"2,44%","29,26%",
São Francisco do Sul/SC,SC,421620,32330,31151,1179,"3,65%",42687,41645,1042,"2,44%","33,06%",
Tietê/SP,SP,355450,29193,28116,1077,"3,69%",31186,30421,765,"2,45%","33,51%",
Presidente Prudente/SP,SP,354140,166724,160202,6522,"3,91%",187633,183026,4607,"2,46%","37,23%",
Canela/RS,RS,430440,29725,28475,1250,"4,21%",39224,38261,963,"2,46%","41,62%",
Passo Fundo/RS,RS,431410,145432,140221,5211,"3,58%",167921,163798,4123,"2,46%","31,48%",
Santo Cristo/RS,RS,431790,11868,11561,307,"2,59%",12929,12611,318,"2,46%","4,92%",
Braço do Norte/SC,SC,420280,22308,21518,790,"3,54%",27333,26657,676,"2,47%","30,16%",
Goiânia/GO,GO,520870,1031360,997420,33936,"3,29%",1178225,1148923,29302,"2,49%","24,42%",
Jaguariúna/SP,SP,352470,34901,33391,1510,"4,33%",48628,47413,1215,"2,50%","42,25%",
São Carlos/SP,SP,354890,178840,172299,6541,"3,66%",211578,206297,5281,"2,50%","31,76%",
Joaçaba/SC,SC,420900,21707,21019,688,"3,17%",25037,24412,625,"2,50%","21,24%",
Balneário Piçarras/SC,SC,421280,12931,12344,587,"4,54%",21675,21131,544,"2,51%","44,71%",
Agronômica/SC,SC,420030,3769,3562,207,"5,49%",4890,4767,123,"2,52%","54,20%",
Ernestina/RS,RS,430705,2456,2303,153,"6,23%",2542,2478,64,"2,52%","59,59%",
Lavras/MG,MG,313820,73375,70341,3034,"4,13%",87123,84909,2214,"2,54%","38,54%",
Capivari de Baixo/SC,SC,420395,16883,16170,713,"4,22%",19278,18788,490,"2,54%","39,81%",
Passo de Torres/SC,SC,421225,5010,4666,344,"6,87%",10282,10021,261,"2,54%","63,03%",
Vila Flores/RS,RS,432330,2718,2660,58,"2,13%",3065,2987,78,"2,54%","-19,26%",
Vila Velha/ES,ES,320520,327703,316002,11701,"3,57%",386286,376390,9896,"2,56%","28,25%",
Guaporé/RS,RS,430940,18574,17875,699,"3,76%",21001,20464,537,"2,56%","32,05%",
São Domingos do Sul/RS,RS,431805,2430,2322,108,"4,44%",2380,2319,61,"2,56%","42,33%",
Botucatu/SP,SP,350750,100688,96545,4143,"4,11%",119429,116361,3068,"2,57%","37,57%",
Rio Claro/SP,SP,354390,149693,144520,5173,"3,46%",166771,162493,4278,"2,57%","25,77%",
Pinheiro Preto/SC,SC,421300,2491,2376,115,"4,62%",2798,2726,72,"2,57%","44,26%",
Pindamonhangaba/SP,SP,353800,113108,108730,4378,"3,87%",133436,129992,3444,"2,58%","33,32%",
São Paulo/SP,SP,355030,8916867,8633382,283472,"3,18%",9498693,9253336,245357,"2,58%","18,75%",
Itatiba/SP,SP,352340,80518,77400,3118,"3,87%",100319,97718,2601,"2,59%","33,05%",
Itupeva/SP,SP,352400,34098,32500,1598,"4,69%",55723,54282,1441,"2,59%","44,82%",
Salto/SP,SP,354520,83039,79751,3288,"3,96%",109017,106189,2828,"2,59%","34,49%",
Santa Bárbara d'Oeste/SP,SP,354580,144911,139582,5329,"3,68%",152414,148465,3949,"2,59%","29,54%",
Barão/RS,RS,430165,4702,4558,144,"3,06%",5405,5265,140,"2,59%","15,42%",
Araçatuba/SP,SP,350280,147722,142031,5691,"3,85%",166381,162052,4329,"2,60%","32,46%",
Barueri/SP,SP,350570,182146,174784,7362,"4,04%",252176,245591,6585,"2,61%","35,39%",
União da Vitória/PR,PR,412820,39681,38077,1604,"4,04%",44274,43120,1154,"2,61%","35,52%",
Içara/SC,SC,420700,45644,43717,1927,"4,22%",47420,46183,1237,"2,61%","38,21%",
Nova Veneza/SC,SC,421160,10514,10178,336,"3,20%",11324,11029,295,"2,61%","18,48%",
Assis/SP,SP,350400,76955,73792,3163,"4,11%",83896,81699,2197,"2,62%","36,29%",
Tangará/SC,SC,421790,6842,6393,449,"6,56%",6673,6498,175,"2,62%","60,04%",
Alvorada/RS,RS,430060,144326,138648,5678,"3,93%",148610,144717,3893,"2,62%","33,41%",
Nova Roma do Sul/RS,RS,431335,2762,2635,127,"4,60%",3011,2932,79,"2,62%","42,94%",
Marília/SP,SP,352900,173986,166926,7060,"4,06%",195156,190025,5131,"2,63%","35,21%",
Fazenda Rio Grande/PR,PR,410765,58468,55856,2612,"4,47%",113165,110194,2971,"2,63%","41,23%",
Tunápolis/SC,SC,421875,3698,3554,144,"3,89%",4033,3927,106,"2,63%","32,50%",
Não-Me-Toque/RS,RS,431265,12981,12490,491,"3,78%",14703,14317,386,"2,63%","30,59%",
São Lourenço/MG,MG,316370,33164,31755,1409,"4,25%",37433,36446,987,"2,64%","37,94%",
Rio das Ostras/RJ,RJ,330452,80585,77576,3009,"3,73%",124894,121597,3297,"2,64%","29,30%",7
Rio do Oeste/SC,SC,421460,5621,5354,267,"4,75%",6366,6198,168,"2,64%","44,44%",
Saudades/SC,SC,421730,7184,6869,315,"4,38%",8300,8081,219,"2,64%","39,82%",
Sapucaia do Sul/RS,RS,432000,100854,97493,3361,"3,33%",107473,104638,2835,"2,64%","20,85%",
Poá/SP,SP,353980,80561,77906,2655,"3,30%",83883,81664,2219,"2,65%","19,73%",
Piên/PR,PR,411910,8352,8000,352,"4,21%",10667,10384,283,"2,65%","37,05%",
Porto União/SC,SC,421360,25586,24705,881,"3,44%",26954,26239,715,"2,65%","22,96%",
Maricá/RJ,RJ,330270,101482,96880,4602,"4,53%",161964,157662,4302,"2,66%","41,43%",8
Paranaguá/PR,PR,411820,103169,99163,4006,"3,88%",114577,111529,3048,"2,66%","31,49%",
Santa Catarina,SC,#N/A,4886123,4683661,202452,"4,14%",6187151,6021965,165186,"2,67%","35,56%",
Itaúna/MG,MG,313380,67981,65131,2850,"4,19%",81509,79326,2183,"2,68%","36,12%",
Augusto Pestana/RS,RS,430150,5949,5699,250,"4,20%",6055,5893,162,"2,68%","36,33%",
São Pedro da Serra/RS,RS,431935,2633,2581,52,"1,97%",2946,2867,79,"2,68%","-35,78%",
Bebedouro/SP,SP,350610,59900,56991,2909,"4,86%",63125,61424,1701,"2,69%","44,51%",
Laurentino/SC,SC,420950,4784,4596,188,"3,93%",6464,6290,174,"2,69%","31,50%",
Navegantes/SC,SC,421130,45358,43452,1906,"4,20%",68062,66229,1833,"2,69%","35,91%",
Jacareí/SP,SP,352440,164395,158163,6232,"3,79%",195757,190464,5293,"2,70%","28,67%",
Praia Grande/SP,SP,354100,200287,191963,8324,"4,16%",282648,275023,7625,"2,70%","35,09%",
Peritiba/SC,SC,421260,2468,2416,52,"2,11%",2515,2447,68,"2,70%","-28,33%",
Contagem/MG,MG,311860,473956,457090,16866,"3,56%",511632,497742,13890,"2,71%","23,71%",
Itajubá/MG,MG,313240,71937,69115,2822,"3,92%",76718,74642,2076,"2,71%","31,02%",
Chapecó/SC,SC,420420,142420,136005,6415,"4,50%",203772,198248,5524,"2,71%","39,82%",
Massaranduba/SC,SC,421060,11751,11350,401,"3,41%",14039,13659,380,"2,71%","20,68%",
Bragança Paulista/SP,SP,350760,116466,111351,5115,"4,39%",146188,142212,3976,"2,72%","38,07%",
Conselheiro Lafaiete/MG,MG,311830,92460,89188,3272,"3,54%",108387,105431,2956,"2,73%","22,93%",
São João da Boa Vista/SP,SP,354910,67905,65297,2608,"3,84%",77523,75408,2115,"2,73%","28,96%",
Botuverá/SC,SC,420270,3678,3465,213,"5,79%",4395,4275,120,"2,73%","52,85%",
Orleans/SC,SC,421170,16861,16112,749,"4,44%",19493,18960,533,"2,73%","38,45%",
Santo Amaro da Imperatriz/SC,SC,421570,15659,14855,804,"5,13%",22292,21681,611,"2,74%","46,62%",
Caieiras/SP,SP,350900,65750,63164,2586,"3,93%",76780,74670,2110,"2,75%","30,13%",
Pato Branco/PR,PR,411850,56186,53811,2375,"4,23%",73990,71954,2036,"2,75%","34,90%",
Araranguá/SC,SC,420140,47388,45279,2109,"4,45%",57991,56398,1593,"2,75%","38,28%",
