Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
Santo André,SP,Santo André/SP,354780,748919,"0,00%","0,00%",0%
Salto Grande,SP,Salto Grande/SP,354540,9050,"0,00%","0,00%",0%
Sabino,SP,Sabino/SP,354460,5112,"0,00%","0,00%","12,30%"
Rio Claro,SP,Rio Claro/SP,354390,201418,"0,00%","0,00%",0%
Ribeirão Bonito,SP,Ribeirão Bonito/SP,354290,10989,"0,00%","0,00%","18,10%"
Rafard,SP,Rafard/SP,354210,8965,"0,00%","0,00%",0%
Potirendaba,SP,Potirendaba/SP,354080,18496,"0,00%","0,00%","6,07%"
Porto Feliz,SP,Porto Feliz/SP,354060,56497,"0,00%","0,00%",0%
Poá,SP,Poá/SP,353980,103765,"0,00%","0,00%",0%
Pirajuí,SP,Pirajuí/SP,353890,22431,"0,00%","0,00%","6,86%"
Piracicaba,SP,Piracicaba/SP,353870,423323,"0,00%","0,00%",0%
Pindorama,SP,Pindorama/SP,353810,14542,"0,00%","0,00%","5,03%"
Paulínia,SP,Paulínia/SP,353650,110537,"0,00%","0,00%",0%
Parisi,SP,Parisi/SP,353625,2892,"0,00%","0,00%",0%
Nova Independência,SP,Nova Independência/SP,353320,4609,"0,00%","0,00%","26,56%"
Martinópolis,SP,Martinópolis/SP,352920,24881,"0,00%","0,00%",0%
Marília,SP,Marília/SP,352900,237627,"0,00%","0,00%","4,09%"
Marapoama,SP,Marapoama/SP,352885,3292,"0,00%","0,00%","9,93%"
Lins,SP,Lins/SP,352710,74779,"0,00%","0,00%","2,11%"
Júlio Mesquita,SP,Júlio Mesquita/SP,352580,4254,"0,00%","0,00%",0%
Jardinópolis,SP,Jardinópolis/SP,352510,45282,"0,00%","0,00%","3,94%"
Jaci,SP,Jaci/SP,352450,7613,"0,00%","0,00%","13,83%"
Jaboticabal,SP,Jaboticabal/SP,352430,71821,"0,00%","0,00%","2,74%"
Ipuã,SP,Ipuã/SP,352130,14454,"0,00%","0,00%","4,08%"
Indiana,SP,Indiana/SP,352060,5090,"0,00%","0,00%","1,77%"
Holambra,SP,Holambra/SP,351905,15094,"0,00%","0,00%",0%
Guarantã,SP,Guarantã/SP,351810,6427,"0,00%","0,00%",0%
Guaíra,SP,Guaíra/SP,351740,39279,"0,00%","0,00%","0,13%"
Guaiçara,SP,Guaiçara/SP,351720,11239,"0,00%","0,00%","0,22%"
Engenheiro Coelho,SP,Engenheiro Coelho/SP,351515,19566,"0,00%","0,00%","24,79%"
Embaúba,SP,Embaúba/SP,351495,2323,"0,00%","0,00%",--
Elisiário,SP,Elisiário/SP,351492,3138,"0,00%","0,00%",0%
Dumont,SP,Dumont/SP,351460,9471,"0,00%","0,00%","3,49%"
Cosmorama,SP,Cosmorama/SP,351290,8719,"0,00%","0,00%","15,13%"
Capivari,SP,Capivari/SP,351040,50068,"0,00%","0,00%","3,83%"
Cândido Mota,SP,Cândido Mota/SP,351000,29449,"0,00%","0,00%","0,63%"
Brodowski,SP,Brodowski/SP,350780,25201,"0,00%","0,00%","1,90%"
Bebedouro,SP,Bebedouro/SP,350610,76373,"0,00%","0,00%","5,54%"
Bauru,SP,Bauru/SP,350600,379146,"0,00%","0,00%",0%
Barra Bonita,SP,Barra Bonita/SP,350530,34346,"0,00%","0,00%",0%
Bálsamo,SP,Bálsamo/SP,350480,9596,"0,00%","0,00%",0%
Américo Brasiliense,SP,Américo Brasiliense/SP,350170,33019,"0,00%","0,00%","3,83%"
Americana,SP,Americana/SP,350160,237240,"0,00%","0,00%","0,47%"
Águas de São Pedro,SP,Águas de São Pedro/SP,350060,2780,"0,00%","0,00%",0%
Guariba,SP,Guariba/SP,351860,37498,"0,67%","0,00%","3,32%"
Cordeirópolis,SP,Cordeirópolis/SP,351240,24514,"2,59%","0,00%",0%
Pitangueiras,SP,Pitangueiras/SP,353950,33674,"3,69%","0,00%","3,69%"
Nova Europa,SP,Nova Europa/SP,353290,9311,"4,01%","0,00%",0%
Conchal,SP,Conchal/SP,351220,28101,"5,16%","0,00%","0,40%"
Sales Oliveira,SP,Sales Oliveira/SP,354490,11411,"9,39%","0,00%","9,39%"
Mauá,SP,Mauá/SP,352940,418261,"10,29%","0,00%","8,36%"
Paraíso,SP,Paraíso/SP,353570,6099,"12,03%","0,00%","1,62%"
Santa Maria da Serra,SP,Santa Maria da Serra/SP,354700,5243,"32,02%","0,00%","3,26%"
Macaé,RJ,Macaé/RJ,330240,246391,"0,00%","0,00%","1,87%"
Senador Amaral,MG,Senador Amaral/MG,316557,6206,"51,13%",0%,"31,03%"
São João do Manteninha,MG,São João do Manteninha/MG,316257,5331,0%,0%,"44,03%"
São João del Rei,MG,São João del Rei/MG,316250,90225,0%,0%,"0,25%"
Santa Cruz de Minas,MG,Santa Cruz de Minas/MG,315733,8109,0%,0%,0%
Rodeiro,MG,Rodeiro/MG,315630,8664,"26,63%",0%,"19,73%"
Rio Pomba,MG,Rio Pomba/MG,315580,17443,"18,44%",0%,"14,18%"
Ponte Nova,MG,Ponte Nova/MG,315210,57776,0%,0%,"0,87%"
Poços de Caldas,MG,Poços de Caldas/MG,315180,163742,0%,0%,0%
Piumhi,MG,Piumhi/MG,315150,36062,0%,0%,"13,46%"
Paula Cândido,MG,Paula Cândido/MG,314830,8659,"46,53%",0%,0%
Paraisópolis,MG,Paraisópolis/MG,314730,20445,0%,0%,"21,74%"
Ouro Fino,MG,Ouro Fino/MG,314600,32094,0%,0%,3%
Nacip Raydan,MG,Nacip Raydan/MG,314420,2459,"35,87%",0%,"18,67%"
Medeiros,MG,Medeiros/MG,314130,3900,"45,38%",0%,"43,59%"
Lagoa Dourada,MG,Lagoa Dourada/MG,313740,12769,"44,48%",0%,"1,24%"
João Monlevade,MG,João Monlevade/MG,313620,80187,0%,0%,"5,85%"
Jacutinga,MG,Jacutinga/MG,313490,25525,0%,0%,"16,19%"
Itumirim,MG,Itumirim/MG,313430,6638,"28,64%",0%,"30,99%"
Itapagipe,MG,Itapagipe/MG,313340,13690,"23,84%",0%,"23,84%"
Itanhomi,MG,Itanhomi/MG,313320,11128,"27,53%",0%,0%
Ipanema,MG,Ipanema/MG,313120,19522,0%,0%,"17,33%"
Inimutaba,MG,Inimutaba/MG,313110,7371,"29,32%",0%,"28,86%"
Guapé,MG,Guapé/MG,312810,13772,0%,0%,"26,47%"
Fortuna de Minas,MG,Fortuna de Minas/MG,312640,3093,0%,0%,0%
Córrego Novo,MG,Córrego Novo/MG,312000,2875,"34,82%",0%,"14,99%"
Cipotânea,MG,Cipotânea/MG,311630,5581,"53,61%",0%,"53,61%"
Cana Verde,MG,Cana Verde/MG,311190,5272,"29,38%",0%,"27,22%"
Campos Altos,MG,Campos Altos/MG,311150,12979,"6,44%",0%,"6,44%"
Cambuí,MG,Cambuí/MG,311060,29536,0%,0%,"3,85%"
Camacho,MG,Camacho/MG,311040,2838,"50,67%",0%,"50,67%"
Caiana,MG,Caiana/MG,311010,5304,"47,27%",0%,"7,62%"
Caeté,MG,Caeté/MG,311000,38776,0%,0%,0%
Bom Jesus do Galho,MG,Bom Jesus do Galho/MG,310780,14536,"34,16%",0%,"19,68%"
Belo Horizonte,MG,Belo Horizonte/MG,310620,2315560,0%,0%,4%
Arinos,MG,Arinos/MG,310450,17272,41%,0%,"34,13%"
Argirita,MG,Argirita/MG,310440,2688,0%,0%,"19,90%"
Araporã,MG,Araporã/MG,310375,8479,0%,0%,"3,28%"
Araguari,MG,Araguari/MG,310350,117808,0%,0%,0%
Antônio Carlos,MG,Antônio Carlos/MG,310290,11095,"29,58%",0%,"29,58%"
Alvinópolis,MG,Alvinópolis/MG,310230,15059,"44,96%",0%,"24,49%"
Água Comprida,MG,Água Comprida/MG,310070,2108,"29,36%",0%,"25,76%"
Itiruçu,BA,Itiruçu/BA,291690,10999,"11,34%",0%,"8,94%"
Itapicuru,BA,Itapicuru/BA,291650,31679,"64,76%",0%,"80,48%"
Itajuípe,BA,Itajuípe/BA,291550,18781,0%,0%,"73,38%"
Barra do Rocha,BA,Barra do Rocha/BA,290310,5775,"39,97%",0%,"13,19%"
Antônio Cardoso,BA,Antônio Cardoso/BA,290170,11146,"64,61%",0%,--
Santana do São Francisco,SE,Santana do São Francisco/SE,280640,7346,"1,06%",0%,0%
Rosário do Catete,SE,Rosário do Catete/SE,280610,9295,"14,70%",0%,0%
União dos Palmares,AL,União dos Palmares/AL,270930,59280,0%,0%,"17,16%"
São Brás,AL,São Brás/AL,270820,6555,"26,54%",0%,"29,96%"
Murici,AL,Murici/AL,270550,25187,"38,67%",0%,0%
Tamandaré,PE,Tamandaré/PE,261485,23561,0%,0%,"0,28%"
Lagoa Grande,PE,Lagoa Grande/PE,260875,24088,"29,70%",0%,"28,66%"
Ibimirim,PE,Ibimirim/PE,260660,26593,"34,01%",0%,"35,96%"
São Mamede,PB,São Mamede/PB,251490,7470,"0,01%",0%,"6,29%"
Tenente Ananias,RN,Tenente Ananias/RN,241410,10262,"39,64%",0%,"30,94%"
Antônio Almeida,PI,Antônio Almeida/PI,220080,3152,0%,0%,"26,24%"
Santo Antônio do Tauá,PA,Santo Antônio do Tauá/PA,150700,27461,0%,0%,"0,42%"
Mineiros,GO,Mineiros/GO,521310,70081,"0,01%","0,01%",0%
Umuarama,PR,Umuarama/PR,412810,117095,"0,01%","0,01%",0%
Santo Antônio da Platina,PR,Santo Antônio da Platina/PR,412410,44369,"0,01%","0,01%","11,76%"
Pontal do Paraná,PR,Pontal do Paraná/PR,411995,30425,"0,01%","0,01%",0%
Ponta Grossa,PR,Ponta Grossa/PR,411990,358371,"0,01%","0,01%",1%
Paranavaí,PR,Paranavaí/PR,411840,92001,"0,01%","0,01%","5,80%"
Paiçandu,PR,Paiçandu/PR,411750,45962,"0,01%","0,01%",0%
Matinhos,PR,Matinhos/PR,411570,39259,"0,01%","0,01%",0%
Maringá,PR,Maringá/PR,411520,409657,"0,01%","0,01%",0%
Londrina,PR,Londrina/PR,411370,555965,"0,01%","0,01%","1,01%"
Jacarezinho,PR,Jacarezinho/PR,411180,40375,"0,01%","0,01%","11,15%"
Guaratuba,PR,Guaratuba/PR,410960,42062,"0,01%","0,01%","0,15%"
Guarapuava,PR,Guarapuava/PR,410940,182093,"0,01%","0,01%","4,43%"
Fazenda Rio Grande,PR,Fazenda Rio Grande/PR,410765,148873,"0,01%","0,01%","4,37%"
Cornélio Procópio,PR,Cornélio Procópio/PR,410640,45206,"0,01%","0,01%","6,65%"
Clevelândia,PR,Clevelândia/PR,410570,15070,"0,01%","0,01%","12,38%"
Cascavel,PR,Cascavel/PR,410480,348051,"0,01%","0,01%","1,27%"
Campo Mourão,PR,Campo Mourão/PR,410430,99432,"0,01%","0,01%","7,98%"
Cambé,PR,Cambé/PR,410370,107208,"0,01%","0,01%","2,06%"
Cambará,PR,Cambará/PR,410360,23212,"0,01%","0,01%","3,36%"
Viradouro,SP,Viradouro/SP,355680,17414,"0,01%","0,01%","2,93%"
Poção,PE,Poção/PE,261120,10500,"36,39%","0,01%","33,33%"
Uraí,PR,Uraí/PR,412840,10406,"0,02%","0,02%","18,64%"
São João do Caiuá,PR,São João do Caiuá/PR,412490,5586,"0,02%","0,02%","17,65%"
Porecatu,PR,Porecatu/PR,412000,11624,"0,02%","0,02%","5,37%"
Nova Londrina,PR,Nova Londrina/PR,411710,12923,"0,02%","0,02%","0,18%"
Curitiba,PR,Curitiba/PR,410690,1773718,0%,"0,02%",0%
Cidade Gaúcha,PR,Cidade Gaúcha/PR,410560,11467,"0,02%","0,02%","17,05%"
Aramina,SP,Aramina/SP,350300,5420,"0,02%","0,02%","6,53%"
Tupaciguara,MG,Tupaciguara/MG,316960,25470,"0,02%","0,02%",--
Oliveira,MG,Oliveira/MG,314560,39262,"0,02%","0,02%","7,03%"
Porto Rico,PR,Porto Rico/PR,412020,3182,"0,03%","0,03%",0%
Itapuí,SP,Itapuí/SP,352290,13659,"0,03%","0,03%","4,49%"
Guaraci,SP,Guaraci/SP,351790,10350,"0,03%","0,03%","10,54%"
Bariri,SP,Bariri/SP,350520,31595,"0,03%","0,03%","5,16%"
Silveirânia,MG,Silveirânia/MG,316730,2323,"35,69%","0,04%","20,62%"
Pirangi,SP,Pirangi/SP,353900,10885,"0,05%","0,05%","10,31%"
Avanhandava,SP,Avanhandava/SP,350440,11263,"0,05%","0,05%","15,49%"
São Bento Abade,MG,São Bento Abade/MG,316080,4713,"7,47%","0,06%","3,46%"
Simonésia,MG,Simonésia/MG,316760,19750,"69,78%","0,07%","18,99%"
Altinho,PE,Altinho/PE,260080,20674,0%,"0,08%","39,99%"
Cravinhos,SP,Cravinhos/SP,351310,33281,"0,09%","0,09%","1,45%"
Espera Feliz,MG,Espera Feliz/MG,312420,24102,"38,04%","0,09%","38,04%"
Luz,MG,Luz/MG,313880,17875,"12,41%","0,10%","4,20%"
Maçambará,RS,Maçambará/RS,431171,4425,"71,64%","0,11%","49,74%"
Adamantina,SP,Adamantina/SP,350010,34687,"0,00%","0,11%","2,57%"
Cristais,MG,Cristais/MG,312020,12197,"21,71%","0,11%","21,71%"
Presidente Prudente,SP,Presidente Prudente/SP,354140,225668,"0,00%","0,13%",0%
Jumirim,SP,Jumirim/SP,352585,3056,"0,13%","0,13%","42,08%"
Virginópolis,MG,Virginópolis/MG,317180,10314,"41,16%","0,14%","28,82%"
São João da Barra,RJ,São João da Barra/RJ,330500,36573,"21,66%","0,15%",0%
Abaíra,BA,Abaíra/BA,290010,7301,"0,15%","0,15%","55,14%"
Cidelândia,MA,Cidelândia/MA,210325,12878,"53,77%","0,16%","10,70%"
Ouro Verde,SP,Ouro Verde/SP,353480,7779,"0,17%","0,17%","0,17%"
Palmital,SP,Palmital/SP,353530,19594,"0,18%","0,18%","8,47%"
Ibirajuba,PE,Ibirajuba/PE,260670,7140,"22,41%","0,18%","58,40%"
Rancharia,SP,Rancharia/SP,354220,28588,"0,19%","0,19%","10,39%"
Itápolis,SP,Itápolis/SP,352270,39493,"0,19%","0,19%","3,78%"
Santa Helena,PB,Santa Helena/PB,251330,5865,"39,47%","0,20%","49,70%"
Pontal,SP,Pontal/SP,354020,37607,"0,22%","0,22%","2,08%"
Guapiaçu,SP,Guapiaçu/SP,351750,21711,"0,22%","0,22%","11,74%"
Baixo Guandu,ES,Baixo Guandu/ES,320080,30674,"0,00%","0,24%",0%
Potim,SP,Potim/SP,354075,20392,"0,25%","0,25%","0,25%"
Vacaria,RS,Vacaria/RS,432250,64197,"2,57%","0,26%","6,77%"
Ribeirão Preto,SP,Ribeirão Preto/SP,354340,698642,"0,27%","0,28%","0,05%"
Nuporanga,SP,Nuporanga/SP,353360,7391,"0,28%","0,28%","9,53%"
Nova Castilho,SP,Nova Castilho/SP,353286,1062,"0,28%","0,28%",--
Macaubal,SP,Macaubal/SP,352810,7481,"0,28%","0,28%","11,86%"
Serrania,MG,Serrania/MG,316690,7621,"18,24%","0,28%","12,28%"
Jeremoabo,BA,Jeremoabo/BA,291810,37626,"51,64%","0,28%","17,61%"
Lindóia,SP,Lindóia/SP,352700,7014,"0,29%","0,29%","0,29%"
Carandaí,MG,Carandaí/MG,311320,23812,"21,98%","0,30%","1,31%"
Abre Campo,MG,Abre Campo/MG,310030,13927,"0,32%","0,32%","6,66%"
Casa Branca,SP,Casa Branca/SP,351080,28083,"0,29%","0,34%","12,93%"
Alto Horizonte,GO,Alto Horizonte/GO,520055,6072,"5,39%","0,35%","14,41%"
Monte Alto,SP,Monte Alto/SP,353130,47574,"0,00%","0,35%","4,69%"
Monte Azul Paulista,SP,Monte Azul Paulista/SP,353150,18151,"0,10%","0,37%","6,43%"
Conceição do Rio Verde,MG,Conceição do Rio Verde/MG,311770,12541,"14,62%","0,37%","0,37%"
Passira,PE,Passira/PE,261050,28340,36%,"0,37%","0,37%"
Buritama,SP,Buritama/SP,350810,17210,"0,38%","0,38%","0,06%"
Sertãozinho,SP,Sertãozinho/SP,355170,126887,"0,39%","0,39%","0,57%"
Três Pontas,MG,Três Pontas/MG,316940,55255,0%,"0,39%","13,99%"
Barão de Cocais,MG,Barão de Cocais/MG,310540,30778,"16,65%","0,44%","3,53%"
Itirapina,SP,Itirapina/SP,352360,16148,"9,76%","0,45%",0%
Presidente Venceslau,SP,Presidente Venceslau/SP,354150,35201,"0,46%","0,46%","4,76%"
Bom Jesus do Itabapoana,RJ,Bom Jesus do Itabapoana/RJ,330060,35173,"15,92%","0,46%","28,92%"
Olaria,MG,Olaria/MG,314540,1945,"0,46%","0,46%","33,16%"
Sales,SP,Sales/SP,354480,6437,"0,47%","0,47%","9,54%"
Goiabeira,MG,Goiabeira/MG,312737,2830,"0,49%","0,49%","4,59%"
Patrocínio,MG,Patrocínio/MG,314810,89826,"0,81%","0,50%",2%
Cuparaque,MG,Cuparaque/MG,312083,3983,"80,44%","0,50%","17,40%"
São Simão,SP,São Simão/SP,355090,13442,"0,51%","0,51%","10,34%"
Campos Gerais,MG,Campos Gerais/MG,311160,26105,"30,95%","0,51%","30,95%"
Ituverava,SP,Ituverava/SP,352410,37571,"0,52%","0,52%","0,52%"
Pará de Minas,MG,Pará de Minas/MG,314710,97139,0%,"0,52%",0%
Foz do Iguaçu,PR,Foz do Iguaçu/PR,410830,285415,"0,01%","0,53%",0%
Piraúba,MG,Piraúba/MG,315130,11610,"33,34%","0,54%","15,59%"
Telêmaco Borba,PR,Telêmaco Borba/PR,412710,75042,"0,01%","0,55%","2,28%"
Maratá,RS,Maratá/RS,431179,2470,"0,61%","0,61%","0,61%"
Águas de Lindóia,SP,Águas de Lindóia/SP,350050,17930,"0,00%","0,61%","1,43%"
São Pedro dos Ferros,MG,São Pedro dos Ferros/MG,316400,7166,"30,62%","0,61%",--
Brotas,SP,Brotas/SP,350790,23898,"0,62%","0,62%","14,34%"
Brejo da Madre de Deus,PE,Brejo da Madre de Deus/PE,260260,48648,"39,43%","0,68%","9,14%"
Mariana Pimentel,RS,Mariana Pimentel/RS,431198,3916,"83,17%","0,69%","2,96%"
Severínia,SP,Severínia/SP,355190,14576,"0,00%","0,74%","8,33%"
Itaú de Minas,MG,Itaú de Minas/MG,313375,14406,"3,33%","0,78%","3,33%"
Cruzeiro da Fortaleza,MG,Cruzeiro da Fortaleza/MG,312070,3521,"15,28%","0,82%",--
Passa Quatro,MG,Passa Quatro/MG,314760,15515,"18,50%","0,83%","18,50%"
Motuca,SP,Motuca/SP,353205,4034,"0,84%","0,84%",0%
João Neiva,ES,João Neiva/ES,320313,14079,"0,00%","1,95%","6,48%"
Serra do Salitre,MG,Serra do Salitre/MG,316680,11801,"30,95%","0,86%","12,72%"
Assis,SP,Assis/SP,350400,101409,"0,70%","0,87%","2,92%"
Monte Carmelo,MG,Monte Carmelo/MG,314310,47692,"0,89%","0,89%","4,90%"
Natividade,RJ,Natividade/RJ,330310,15074,"24,37%","0,90%","20,85%"
Porto Alegre do Piauí,PI,Porto Alegre do Piauí/PI,220855,2364,"0,93%","0,93%","30,25%"
Piedade do Rio Grande,MG,Piedade do Rio Grande/MG,315030,4604,"36,16%","0,96%","26,87%"
Campo do Meio,MG,Campo do Meio/MG,311130,11377,"0,96%","0,96%","13,18%"
São Joaquim da Barra,SP,São Joaquim da Barra/SP,354940,48558,"1,03%","1,03%","2,80%"
Rio Novo,MG,Rio Novo/MG,315540,8518,"22,05%","1,03%","14,16%"
Cachoeira de Minas,MG,Cachoeira de Minas/MG,310970,11883,"37,25%","1,04%","2,31%"
Santa Gertrudes,SP,Santa Gertrudes/SP,354670,23611,"1,06%","1,06%","0,60%"
Campos Novos Paulista,SP,Campos Novos Paulista/SP,350980,4888,"1,06%","1,06%","18,17%"
Volta Redonda,RJ,Volta Redonda/RJ,330630,261563,"0,05%","1,09%","4,99%"
Barrinha,SP,Barrinha/SP,350560,32092,"1,11%","1,11%",0%
Alto Jequitibá,MG,Alto Jequitibá/MG,315350,8397,"53,71%","1,12%","48,33%"
Matinhas,PB,Matinhas/PB,250933,4571,"79,83%","1,12%","84,23%"
Pingo-d'Água,MG,Pingo-d'Água/MG,315053,4706,"8,80%","1,13%","0,55%"
Careaçu,MG,Careaçu/MG,311360,6816,"32,63%","1,13%","2,86%"
Tupi Paulista,SP,Tupi Paulista/SP,355510,15854,"1,16%","1,16%","21,54%"
Sumaré,SP,Sumaré/SP,355240,279545,"1,18%","1,18%",0%
Jundiaí,SP,Jundiaí/SP,352590,443221,"0,37%","1,21%","0,02%"
Lençóis Paulista,SP,Lençóis Paulista/SP,352680,66505,"1,22%","1,22%","1,22%"
Prado Ferreira,PR,Prado Ferreira/PR,412033,3709,"1,24%","1,24%","13,29%"
Tabatinga,SP,Tabatinga/SP,355270,14769,"1,25%","1,25%","14,79%"
Santa Bárbara d'Oeste,SP,Santa Bárbara d'Oeste/SP,354580,183347,"0,75%","1,26%",0%
Bugre,MG,Bugre/MG,310925,4041,"67,16%","1,26%","82,68%"
Coxixola,PB,Coxixola/PB,250485,1824,"44,13%","1,32%","55,87%"
Cássia,MG,Cássia/MG,311510,17155,"21,13%","1,35%","1,35%"
Conceição de Macabu,RJ,Conceição de Macabu/RJ,330140,21104,"14,74%","1,37%",--
Jacareí,SP,Jacareí/SP,352440,240275,"0,64%","1,38%",0%
Dois Córregos,SP,Dois Córregos/SP,351410,24510,"1,39%","1,39%","6,63%"
Santa Terezinha de Itaipu,PR,Santa Terezinha de Itaipu/PR,412405,24262,"0,01%","1,41%","4,23%"
Sorocaba,SP,Sorocaba/SP,355220,723682,"1,49%","1,46%","0,01%"
Pedrinópolis,MG,Pedrinópolis/MG,314920,3344,"22,37%","1,47%","4,31%"
Vargem Grande do Sul,SP,Vargem Grande do Sul/SP,355640,40133,"1,48%","1,48%","4,82%"
Uberlândia,MG,Uberlândia/MG,317020,713224,0%,"1,49%","0,50%"
Cerquilho,SP,Cerquilho/SP,351150,44695,"1,50%","1,50%","1,50%"
Uberaba,MG,Uberaba/MG,317010,337836,0%,"1,50%","0,65%"
Pequeri,MG,Pequeri/MG,314950,3351,"16,98%","1,52%","0,33%"
São Bento do Una,PE,São Bento do Una/PE,261300,49449,"34,58%","1,52%","31,06%"
Balneário Camboriú,SC,Balneário Camboriú/SC,420200,139155,0%,"1,55%",0%
Igaraçu do Tietê,SP,Igaraçu do Tietê/SP,352000,23106,"1,57%","1,57%","2,13%"
Alterosa,MG,Alterosa/MG,310200,13915,"28,23%","1,57%","1,57%"
Ipiaçu,MG,Ipiaçu/MG,313140,3775,"1,59%","1,59%","10,36%"
Cabrália Paulista,SP,Cabrália Paulista/SP,350830,4299,"1,63%","1,63%","14,63%"
Andrelândia,MG,Andrelândia/MG,310280,11927,"23,66%","1,65%","20,74%"
Delfim Moreira,MG,Delfim Moreira/MG,312110,7952,"1,66%","1,66%","62,68%"
Apucarana,PR,Apucarana/PR,410140,130134,"0,01%","1,67%","1,41%"
Itatiaiuçu,MG,Itatiaiuçu/MG,313370,12966,"46,94%","1,70%","30,59%"
Perdizes,MG,Perdizes/MG,314980,17151,"35,96%","1,72%","3,50%"
Ibiporã,PR,Ibiporã/PR,410980,51603,0%,"1,73%",0%
Cruzeiro,SP,Cruzeiro/SP,351340,74961,"0,00%","1,73%",0%
São Tomé das Letras,MG,São Tomé das Letras/MG,316520,6904,"43,06%","1,77%","1,77%"
Araras,SP,Araras/SP,350330,130866,"1,77%","1,77%",0%
São Sebastião do Rio Verde,MG,São Sebastião do Rio Verde/MG,316490,2300,"1,78%","1,78%","37,43%"
Porto Ferreira,SP,Porto Ferreira/SP,354070,52649,"1,79%","1,79%","0,19%"
Jaguariúna,SP,Jaguariúna/SP,352470,59347,"0,00%","1,80%",0%
Santa Ernestina,SP,Santa Ernestina/SP,354650,6118,"1,37%","1,80%","3,56%"
Verdejante,PE,Verdejante/PE,261610,9169,0%,"1,82%","44,16%"
Toritama,PE,Toritama/PE,261540,41137,"8,34%","1,85%","5,80%"
Valparaíso,SP,Valparaíso/SP,355630,24241,"1,92%","1,92%","1,92%"
Carlos Barbosa,RS,Carlos Barbosa/RS,430480,30420,"20,09%","1,93%","1,93%"
Linhares,ES,Linhares/ES,320320,166786,"0,00%","11,13%","11,66%"
Goiânia,GO,Goiânia/GO,520870,1437366,"1,59%","1,96%","1,96%"
Pescador,MG,Pescador/MG,315000,3570,"14,40%","1,96%","21,79%"
Comendador Levy Gasparian,RJ,Comendador Levy Gasparian/RJ,330095,8741,"1,73%","1,97%","3,58%"
Águas da Prata,SP,Águas da Prata/SP,350040,7369,"0,00%","1,99%","3,99%"
Ilicínea,MG,Ilicínea/MG,313050,12741,"23,48%","1,99%","60,76%"
Catiguá,SP,Catiguá/SP,351120,7003,"1,98%","2,01%","3,61%"
Santa Lúcia,SP,Santa Lúcia/SP,354690,7149,"7,89%","2,03%","7,89%"
Senador Modestino Gonçalves,MG,Senador Modestino Gonçalves/MG,316590,4008,"61,38%","2,05%","53,57%"
Onça de Pitangui,MG,Onça de Pitangui/MG,314580,2969,"51,30%","2,05%","32,64%"
Pedreira,SP,Pedreira/SP,353710,43112,"1,90%","2,06%","0,06%"
Paranapuã,SP,Paranapuã/SP,353590,4031,"0,12%","2,08%","10,74%"
Baldim,MG,Baldim/MG,310500,7492,"43,23%","2,08%","5,23%"
Tangará,RN,Tangará/RN,241400,13281,"0,60%","2,12%","9,65%"
Pato Branco,PR,Pato Branco/PR,411850,91836,"0,01%","2,14%","3,45%"
