codigo_ibge,UF-Município,anomes_s,qtd_pes_pob,qtd_pes_baixa_renda,qtd_pes_acima_meio_sm,total,pop. IBGE 2024,% no cad unico,% pobreza
120060,Ac-Tarauaca,202503,30277,7118,3203,40598,46.517,"87,28%","65,09%"
120070,Ac-Xapuri,202503,7795,2783,1950,12528,19.090,"65,63%","40,83%"
120080,Ac-Porto Acre,202503,11353,2506,2078,15937,17.455,"91,30%","65,04%"
130002,Am-Alvaraes,202503,10676,2256,1200,14132,16.670,"84,78%","64,04%"
130006,Am-Amatura,202503,8165,1103,1145,10413,11.411,"91,25%","71,55%"
130008,Am-Anama,202503,7880,1168,871,9919,10.318,"96,13%","76,37%"
130010,Am-Anori,202503,9964,1344,1186,12494,17.932,"69,67%","55,57%"
130014,Am-Apui,202503,6252,3229,2782,12263,21.735,"56,42%","28,76%"
130020,Am-Atalaia do Norte,202503,7660,3169,1320,12149,15.892,"76,45%","48,20%"
130030,Am-Autazes,202503,36117,2625,2902,41644,45.328,"91,87%","79,68%"
130040,Am-Barcelos,202503,10406,2097,1324,13827,18.626,"74,23%","55,87%"
130050,Am-Barreirinha,202503,21250,4937,2129,28316,33.436,"84,69%","63,55%"
130060,Am-Benjamin Constant,202503,25260,5211,2393,32864,40.509,"81,13%","62,36%"
130063,Am-Beruri,202503,17185,2964,1628,21777,22.136,"98,38%","77,63%"
130068,Am-Boa Vista do Ramos,202503,10656,1591,1142,13389,25.769,"51,96%","41,35%"
130070,Am-Boca do Acre,202503,16254,4344,2602,23200,38.246,"60,66%","42,50%"
130080,Am-Borba,202503,20821,3976,2177,26974,34.879,"77,34%","59,69%"
130083,Am-Caapiranga,202503,8229,980,935,10144,14.310,"70,89%","57,51%"
130090,Am-Canutama,202503,8030,2702,1432,12164,17.885,"68,01%","44,90%"
130100,Am-Carauari,202503,19339,3832,1971,25142,30.892,"81,39%","62,60%"
130110,Am-Careiro,202503,15034,5087,4119,24240,32.442,"74,72%","46,34%"
130115,Am-Careiro da Varzea,202503,12525,2418,1615,16558,19.809,"83,59%","63,23%"
130120,Am-Coari,202503,43792,7299,4559,55650,73.820,"75,39%","59,32%"
130130,Am-Codajas,202503,13080,3291,2641,19012,24.451,"77,76%","53,49%"
130140,Am-Eirunepe,202503,21396,3780,1953,27129,35.534,"76,35%","60,21%"
130150,Am-Envira,202503,11714,1949,889,14552,17.920,"81,21%","65,37%"
130160,Am-Fonte Boa,202503,18798,2024,1194,22016,27.875,"78,98%","67,44%"
130165,Am-Guajara,202503,10936,1959,713,13608,14.332,"94,95%","76,30%"
130170,Am-Humaita,202503,30283,5064,4955,40302,62.312,"64,68%","48,60%"
130180,Am-Ipixuna,202503,13301,1397,456,15154,25.458,"59,53%","52,25%"
130185,Am-Iranduba,202503,38918,5930,6780,51628,67.114,"76,93%","57,99%"
130190,Am-Itacoatiara,202503,47057,16323,10537,73917,112.520,"65,69%","41,82%"
130195,Am-Itamarati,202503,7949,1693,537,10179,11.730,"86,78%","67,77%"
130200,Am-Itapiranga,202503,4623,2537,1674,8834,10.805,"81,76%","42,79%"
130210,Am-Japura,202503,4559,2018,637,7214,9.397,"76,77%","48,52%"
130220,Am-Jurua,202503,7408,863,955,9226,11.152,"82,73%","66,43%"
130230,Am-Jutai,202503,19417,2227,1193,22837,27.656,"82,58%","70,21%"
130240,Am-Labrea,202503,30830,4672,5031,40533,48.927,"82,84%","63,01%"
130250,Am-Manacapuru,202503,59618,14737,8348,82703,110.691,"74,72%","53,86%"
130255,Am-Manaquiri,202503,11250,2477,2355,16082,17.009,"94,55%","66,14%"
130260,Am-Manaus,202503,701468,223381,194289,1119138,2.279.686,"49,09%","30,77%"
130270,Am-Manicore,202503,26780,6565,4542,37887,57.758,"65,60%","46,37%"
130280,Am-Maraa,202503,12331,1856,714,14901,15.843,"94,05%","77,83%"
130290,Am-Maues,202503,40964,5190,4130,50284,65.714,"76,52%","62,34%"
130300,Am-Nhamunda,202503,13069,2702,2062,17833,21.106,"84,49%","61,92%"
130310,Am-Nova Olinda do Norte,202503,17430,3815,2479,23724,28.267,"83,93%","61,66%"
130320,Am-Novo Airao,202503,7164,3523,1926,12613,16.467,"76,60%","43,51%"
130330,Am-Novo Aripuana,202503,11074,2581,1612,15267,24.987,"61,10%","44,32%"
130340,Am-Parintins,202503,60342,9990,7551,77883,101.956,"76,39%","59,18%"
130350,Am-Pauini,202503,11813,2287,779,14879,20.232,"73,54%","58,39%"
130353,Am-Presidente Figueiredo,202503,13832,4813,4408,23053,33.004,"69,85%","41,91%"
130356,Am-Rio Preto da Eva,202503,10277,4390,2399,17066,25.723,"66,35%","39,95%"
130360,Am-Santa Isabel do Rio Negro,202503,8598,1278,1161,11037,14.176,"77,86%","60,65%"
130370,Am-Santo Antonio do Ica,202503,16144,7162,2463,25769,30.448,"84,63%","53,02%"
130380,Am-Sao Gabriel da Cachoeira,202503,31999,7723,2092,41814,56.406,"74,13%","56,73%"
130390,Am-Sao Paulo de Olivenca,202503,25596,4588,2670,32854,35.196,"93,35%","72,72%"
130395,Am-Sao Sebastiao do Uatuma,202503,6211,1261,1243,8715,12.247,"71,16%","50,71%"
130400,Am-Silves,202503,7080,1506,1161,9747,12.404,"78,58%","57,08%"
130406,Am-Tabatinga,202503,33894,10000,4509,48403,72.283,"66,96%","46,89%"
130410,Am-Tapaua,202503,13415,2543,1578,17536,20.501,"85,54%","65,44%"
130420,Am-Tefe,202503,44214,8568,5339,58121,79.278,"73,31%","55,77%"
130423,Am-Tonantins,202503,12565,2037,1089,15691,20.224,"77,59%","62,13%"
130426,Am-Uarini,202503,10210,995,626,11831,15.278,"77,44%","66,83%"
130430,Am-Urucara,202503,9331,2193,1654,13178,19.505,"67,56%","47,84%"
130440,Am-Urucurituba,202503,13496,1329,1558,16383,25.592,"64,02%","52,74%"
140002,Rr-Amajari,202503,6317,1241,832,8390,15.583,"53,84%","40,54%"
140005,Rr-Alto Alegre,202503,7811,2268,1706,11785,23.049,"51,13%","33,89%"
140010,Rr-Boa Vista,202503,96560,70465,35435,202460,470.169,"43,06%","20,54%"
140015,Rr-Bonfim,202503,10967,1377,1859,14203,15.222,"93,31%","72,05%"
140017,Rr-Canta,202503,12894,2982,2531,18407,20.552,"89,56%","62,74%"
140020,Rr-Caracarai,202503,10293,3782,2056,16131,22.443,"71,88%","45,86%"
140023,Rr-Caroebe,202503,6353,1528,1388,9269,11.708,"79,17%","54,26%"
140028,Rr-Iracema,202503,3985,974,723,5682,10.778,"52,72%","36,97%"
140030,Rr-Mucajai,202503,12136,1974,1846,15956,19.619,"81,33%","61,86%"
140040,Rr-Normandia,202503,10393,2540,789,13722,15.744,"87,16%","66,01%"
140045,Rr-Pacaraima,202503,15313,3454,2390,21157,22.104,"95,72%","69,28%"
140047,Rr-Rorainopolis,202503,11426,4644,3144,19214,36.747,"52,29%","31,09%"
140050,Rr-Sao Joao da Baliza,202503,3881,1174,1020,6075,9.727,"62,46%","39,90%"
140060,Rr-Sao Luiz,202503,4291,1103,944,6338,7.777,"81,50%","55,18%"
140070,Rr-Uiramuta,202503,10368,2335,372,13075,15.571,"83,97%","66,59%"
150010,Pa-Abaetetuba,202503,93101,18155,17668,128924,170.999,"75,39%","54,45%"
150013,Pa-Abel Figueiredo,202503,3652,750,813,5215,6.302,"82,75%","57,95%"
150020,Pa-Acara,202503,37152,7507,4232,48891,62.701,"77,97%","59,25%"
150030,Pa-Afua,202503,31251,4562,2471,38284,40.246,"95,12%","77,65%"
150034,Pa-Agua Azul do Norte,202503,6531,1723,2145,10399,17.960,"57,90%","36,36%"
150040,Pa-Alenquer,202503,37137,5029,3899,46065,74.836,"61,55%","49,62%"
150050,Pa-Almeirim,202503,18294,4364,2835,25493,36.334,"70,16%","50,35%"
150060,Pa-Altamira,202503,39042,19536,15543,74121,136.982,"54,11%","28,50%"
150070,Pa-Anajas,202503,23892,4195,2896,30983,30.003,"103,27%","79,63%"
150080,Pa-Ananindeua,202503,115143,66259,50768,232170,507.838,"45,72%","22,67%"
150085,Pa-Anapu,202503,21199,3089,2792,27080,34.947,"77,49%","60,66%"
150090,Pa-Augusto Correa,202503,28279,6504,3508,38291,47.596,"80,45%","59,41%"
150095,Pa-Aurora do Para,202503,14395,2462,2353,19210,24.321,"78,99%","59,19%"
150100,Pa-Aveiro,202503,8804,1781,1497,12082,19.223,"62,85%","45,80%"
150110,Pa-Bagre,202503,17972,1932,692,20596,34.633,"59,47%","51,89%"
150120,Pa-Baiao,202503,20658,3508,2441,26607,55.949,"47,56%","36,92%"
150125,Pa-Bannach,202503,1628,570,513,2711,4.252,"63,76%","38,29%"
150130,Pa-Barcarena,202503,46101,19098,15521,80720,137.331,"58,78%","33,57%"
150140,Pa-Belem,202503,413964,131082,131174,676220,1.398.531,"48,35%","29,60%"
150145,Pa-Belterra,202503,7812,4438,2984,15234,18.954,"80,37%","41,22%"
150150,Pa-Benevides,202503,27488,12075,10254,49817,68.191,"73,06%","40,31%"
150157,Pa-Bom Jesus do Tocantins,202503,6102,2674,2172,10948,18.958,"57,75%","32,19%"
150160,Pa-Bonito,202503,7165,1911,1330,10406,12.998,"80,06%","55,12%"
150170,Pa-Braganca,202503,62550,16207,11039,89796,131.679,"68,19%","47,50%"
150172,Pa-Brasil Novo,202503,9559,2873,2749,15181,26.606,"57,06%","35,93%"
150175,Pa-Brejo Grande do Araguaia,202503,4026,977,1080,6083,6.985,"87,09%","57,64%"
150178,Pa-Breu Branco,202503,22763,4700,6053,33516,47.351,"70,78%","48,07%"
150180,Pa-Breves,202503,74828,9366,6627,90821,115.051,"78,94%","65,04%"
150190,Pa-Bujaru,202503,16361,4396,2445,23202,25.112,"92,39%","65,15%"
150195,Pa-Cachoeira do Piria,202503,12380,2527,1475,16382,19.578,"83,68%","63,23%"
150200,Pa-Cachoeira do Arari,202503,14714,2270,1402,18386,25.243,"72,84%","58,29%"
150210,Pa-Cameta,202503,87585,12805,7419,107809,143.837,"74,95%","60,89%"
150215,Pa-Canaa dos Carajas,202503,25160,12593,12165,49918,86.629,"57,62%","29,04%"
150220,Pa-Capanema,202503,26874,8537,6874,42285,74.808,"56,52%","35,92%"
150230,Pa-Capitao Poco,202503,32473,6178,5228,43879,59.960,"73,18%","54,16%"
150240,Pa-Castanhal,202503,50179,34880,22707,107766,207.603,"51,91%","24,17%"
150250,Pa-Chaves,202503,16166,1588,605,18359,21.487,"85,44%","75,24%"
150260,Pa-Colares,202503,7349,1652,1496,10497,13.526,"77,61%","54,33%"
150270,Pa-Conceicao do Araguaia,202503,9444,9439,8665,27548,47.099,"58,49%","20,05%"
150275,Pa-Concordia do Para,202503,18747,3541,2082,24370,28.287,"86,15%","66,27%"
150276,Pa-Cumaru do Norte,202503,4846,1666,1007,7519,14.937,"50,34%","32,44%"
150277,Pa-Curionopolis,202503,8362,3172,3371,14905,20.859,"71,46%","40,09%"
150280,Pa-Curralinho,202503,25888,3666,1626,31180,36.451,"85,54%","71,02%"
150285,Pa-Curua,202503,8733,2602,1501,12836,14.834,"86,53%","58,87%"
150290,Pa-Curuca,202503,24967,4246,3229,32442,44.413,"73,05%","56,22%"
150293,Pa-Dom Eliseu,202503,14901,5364,5477,25742,62.322,"41,30%","23,91%"
150295,Pa-Eldorado dos Carajas,202503,11854,4399,5496,21749,29.425,"73,91%","40,29%"
150300,Pa-Faro,202503,6136,980,1001,8117,9.125,"88,95%","67,24%"
150304,Pa-Floresta do Araguaia,202503,9006,2736,1970,13712,18.565,"73,86%","48,51%"
150307,Pa-Garrafao do Norte,202503,14196,3277,2158,19631,25.552,"76,83%","55,56%"
150309,Pa-Goianesia do Para,202503,10758,4924,4146,19828,27.059,"73,28%","39,76%"
150310,Pa-Gurupa,202503,25752,4182,1780,31714,33.922,"93,49%","75,92%"
150320,Pa-Igarape-Acu,202503,17424,5394,3638,26456,37.855,"69,89%","46,03%"
150330,Pa-Igarape-Miri,202503,40451,7671,4791,52913,68.955,"76,74%","58,66%"
150340,Pa-Inhangapi,202503,4834,1849,1262,7945,10.754,"73,88%","44,95%"
150345,Pa-Ipixuna do Para,202503,20449,3809,2862,27120,30.158,"89,93%","67,81%"
150350,Pa-Irituia,202503,19397,3067,2800,25264,32.698,"77,26%","59,32%"
150360,Pa-Itaituba,202503,48865,15486,13974,78325,133.684,"58,59%","36,55%"
150370,Pa-Itupiranga,202503,24669,5672,5357,35698,52.187,"68,40%","47,27%"
150375,Pa-Jacareacanga,202503,14655,2758,1326,18739,26.006,"72,06%","56,35%"
150380,Pa-Jacunda,202503,17054,4811,4907,26772,38.391,"69,74%","44,42%"
150390,Pa-Juruti,202503,25240,7517,3243,36000,53.952,"66,73%","46,78%"
150400,Pa-Limoeiro do Ajuru,202503,19468,3869,2161,25498,31.778,"80,24%","61,26%"
150405,Pa-Mae do Rio,202503,17515,3720,3127,24362,37.048,"65,76%","47,28%"
150410,Pa-Magalhaes Barata,202503,3955,1374,974,6303,8.428,"74,79%","46,93%"
150420,Pa-Maraba,202503,75349,36890,31867,144106,288.513,"49,95%","26,12%"
150430,Pa-Maracana,202503,18446,4164,2790,25400,27.207,"93,36%","67,80%"
150440,Pa-Marapanim,202503,15283,2431,2426,20140,28.105,"71,66%","54,38%"
150442,Pa-Marituba,202503,46801,15673,14754,77228,118.998,"64,90%","39,33%"
150445,Pa-Medicilandia,202503,18004,2575,2436,23015,28.633,"80,38%","62,88%"
150450,Pa-Melgaco,202503,21570,2011,1005,24586,29.846,"82,38%","72,27%"
150460,Pa-Mocajuba,202503,25994,2852,2284,31130,28.821,"108,01%","90,19%"
150470,Pa-Moju,202503,42666,10596,5613,58875,90.795,"64,84%","46,99%"
150475,Pa-Mojui dos Campos,202503,10925,4391,3363,18679,25.312,"73,80%","43,16%"
150480,Pa-Monte Alegre,202503,36458,7641,4442,48541,63.641,"76,27%","57,29%"
150490,Pa-Muana,202503,23242,5375,2811,31428,48.955,"64,20%","47,48%"
150495,Pa-Nova Esperanca do Piria,202503,14259,2238,1574,18071,21.259,"85,00%","67,07%"
150497,Pa-Nova Ipixuna,202503,5179,1749,1827,8755,14.417,"60,73%","35,92%"
150500,Pa-Nova Timboteua,202503,5798,1793,1492,9083,13.204,"68,79%","43,91%"
150503,Pa-Novo Progresso,202503,8933,5399,4469,18801,36.518,"51,48%","24,46%"
150506,Pa-Novo Repartimento,202503,32666,6284,5959,44909,63.754,"70,44%","51,24%"
150510,Pa-Obidos,202503,30426,6729,6014,43169,55.271,"78,10%","55,05%"
150520,Pa-Oeiras do Para,202503,27519,2852,1256,31627,36.377,"86,94%","75,65%"
150530,Pa-Oriximina,202503,35837,9609,5991,51437,72.460,"70,99%","49,46%"
150540,Pa-Ourem,202503,10276,2231,2013,14520,18.675,"77,75%","55,03%"
150543,Pa-Ourilandia do Norte,202503,12275,5743,4434,22452,34.905,"64,32%","35,17%"
150548,Pa-Pacaja,202503,25963,4908,4483,35354,43.594,"81,10%","59,56%"
150549,Pa-Palestina do Para,202503,3630,1065,861,5556,7.086,"78,41%","51,23%"
150550,Pa-Paragominas,202503,29064,19791,15455,64310,112.843,"56,99%","25,76%"
150553,Pa-Parauapebas,202503,56977,37336,35148,129461,298.854,"43,32%","19,07%"
150555,Pa-Pau D Arco,202503,4138,1111,1386,6635,7.296,"90,94%","56,72%"
150560,Pa-Peixe-Boi,202503,3727,1465,1001,6193,8.651,"71,59%","43,08%"
150563,Pa-Picarra,202503,4692,2176,2194,9062,13.341,"67,93%","35,17%"
150565,Pa-Placas,202503,11291,2913,2489,16693,18.772,"88,92%","60,15%"
150570,Pa-Ponta de Pedras,202503,18375,2774,2272,23421,25.767,"90,90%","71,31%"
150580,Pa-Portel,202503,37529,11113,4917,53559,66.898,"80,06%","56,10%"
150590,Pa-Porto de Moz,202503,22995,4600,2939,30534,43.673,"69,92%","52,65%"
150600,Pa-Prainha,202503,28262,3717,2695,34674,38.318,"90,49%","73,76%"
150610,Pa-Primavera,202503,6134,1525,1261,8920,11.332,"78,72%","54,13%"
150611,Pa-Quatipuru,202503,6265,1718,1360,9343,11.870,"78,71%","52,78%"
150613,Pa-Redencao,202503,20099,14022,11372,45493,91.947,"49,48%","21,86%"
150616,Pa-Rio Maria,202503,5941,2860,3233,12034,19.129,"62,91%","31,06%"
150618,Pa-Rondon do Para,202503,13135,4796,4267,22198,56.593,"39,22%","23,21%"
150619,Pa-Ruropolis,202503,12127,4313,3326,19766,37.360,"52,91%","32,46%"
150620,Pa-Salinopolis,202503,16472,8337,4747,29556,48.168,"61,36%","34,20%"
150630,Pa-Salvaterra,202503,14562,2151,1600,18313,25.441,"71,98%","57,24%"
150635,Pa-Santa Barbara do Para,202503,8278,3887,3142,15307,22.288,"68,68%","37,14%"
150640,Pa-Santa Cruz do Arari,202503,4658,1340,676,6674,7.654,"87,20%","60,86%"
150650,Pa-Santa Isabel do Para,202503,20470,10118,6297,36885,78.317,"47,10%","26,14%"
150655,Pa-Santa Luzia do Para,202503,12539,2589,1744,16872,21.217,"79,52%","59,10%"
150658,Pa-Santa Maria das Barreiras,202503,6426,3943,3813,14182,17.079,"83,04%","37,63%"
150660,Pa-Santa Maria do Para,202503,11162,4374,2902,18438,25.696,"71,75%","43,44%"
150670,Pa-Santana do Araguaia,202503,15062,4266,5107,24435,31.683,"77,12%","47,54%"
150680,Pa-Santarem,202503,143857,57150,47323,248330,357.311,"69,50%","40,26%"
150690,Pa-Santarem Novo,202503,4425,903,864,6192,6.348,"97,54%","69,71%"
150700,Pa-Santo Antonio do Taua,202503,14895,4571,3406,22872,29.134,"78,51%","51,13%"
150710,Pa-Sao Caetano de Odivelas,202503,7899,3145,1883,12927,17.248,"74,95%","45,80%"
150715,Pa-Sao Domingos do Araguaia,202503,10177,2442,2572,15191,21.638,"70,21%","47,03%"
150720,Pa-Sao Domingos do Capim,202503,19373,3409,2357,25139,32.449,"77,47%","59,70%"
150730,Pa-Sao Felix do Xingu,202503,30181,7830,6899,44910,65.957,"68,09%","45,76%"
150740,Pa-Sao Francisco do Para,202503,8381,2513,2013,12907,15.418,"83,71%","54,36%"
150745,Pa-Sao Geraldo do Araguaia,202503,10639,3426,3392,17457,24.978,"69,89%","42,59%"
150746,Pa-Sao Joao da Ponta,202503,3543,844,769,5156,4.509,"114,35%","78,58%"
150747,Pa-Sao Joao de Pirabas,202503,11532,2537,2524,16593,21.447,"77,37%","53,77%"
150750,Pa-Sao Joao do Araguaia,202503,7943,2116,2109,12168,14.246,"85,41%","55,76%"
150760,Pa-Sao Miguel do Guama,202503,24295,8445,4486,37226,55.798,"66,72%","43,54%"
150770,Pa-Sao Sebastiao da Boa Vista,202503,22337,2735,1434,26506,27.441,"96,59%","81,40%"
150775,Pa-Sapucaia,202503,2450,715,685,3850,6.160,"62,50%","39,77%"
150780,Pa-Senador Jose Porfirio,202503,13829,1878,1419,17126,24.441,"70,07%","56,58%"
150790,Pa-Soure,202503,14225,2856,2024,19105,25.218,"75,76%","56,41%"
150795,Pa-Tailandia,202503,35197,12650,7172,55019,75.526,"72,85%","46,60%"
150796,Pa-Terra Alta,202503,7217,1228,1307,9752,10.815,"90,17%","66,73%"
150797,Pa-Terra Santa,202503,10727,1953,2248,14928,19.667,"75,90%","54,54%"
150800,Pa-Tome-Acu,202503,32845,11372,7166,51383,72.326,"71,04%","45,41%"
150803,Pa-Tracuateua,202503,19219,3206,2777,25202,30.373,"82,98%","63,28%"
150805,Pa-Trairao,202503,7721,2785,1991,12497,15.619,"80,01%","49,43%"
150808,Pa-Tucuma,202503,6654,10379,6946,23979,42.480,"56,45%","15,66%"
150810,Pa-Tucurui,202503,28919,14350,12902,56171,96.238,"58,37%","30,05%"
150812,Pa-Ulianopolis,202503,11477,3913,3064,18454,39.576,"46,63%","29,00%"
150815,Pa-Uruara,202503,21624,5937,3632,31193,45.939,"67,90%","47,07%"
150820,Pa-Vigia,202503,27091,4974,4813,36878,53.806,"68,54%","50,35%"
150830,Pa-Viseu,202503,36914,5026,2858,44798,61.970,"72,29%","59,57%"
150835,Pa-Vitoria do Xingu,202503,8219,2910,1713,12842,16.414,"78,24%","50,07%"
150840,Pa-Xinguara,202503,14654,6916,5770,27340,56.999,"47,97%","25,71%"
160005,Ap-Serra do Navio,202503,2424,566,494,3484,4.986,"69,88%","48,62%"
160010,Ap-Amapa,202503,5147,1017,570,6734,8.434,"79,84%","61,03%"
160015,Ap-Pedra Branca do Amapari,202503,7841,966,1049,9856,13.798,"71,43%","56,83%"
160020,Ap-Calcoene,202503,6315,1108,890,8313,11.391,"72,98%","55,44%"
160021,Ap-Cutias,202503,3566,1091,455,5112,4.725,"108,19%","75,47%"
160023,Ap-Ferreira Gomes,202503,3362,1293,661,5316,7.145,"74,40%","47,05%"
160025,Ap-Itaubal,202503,6209,441,541,7191,6.043,"119,00%","102,75%"
160027,Ap-Laranjal do Jari,202503,18695,4537,4126,27358,37.969,"72,05%","49,24%"
160030,Ap-Macapa,202503,169516,55222,40623,265361,487.200,"54,47%","34,79%"
